	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S211	S212	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S226	S227	S228	S229	S230	S231	S232	S233	S234	S235	S236	S237	S238	S239	S240	S241	S242	S243	S244	S245	S246	S247	S248	S249	S250	S251	S252	S253	S254	S255	S256	S257	S258	S259	S260	S261	S262	S263	S264	S265	S266	S267	S268	S269	S270	S271	S272	S273	S274	S275	S276	S277	S278	S279	S280	S281	S282	S283	S284	S285	S286	S287	S288	S289	S290	S291	S292	S293	S294	S295	S296	S297	S298	S299	S300	S301	S302	S303	S304	S305	S306	S307	S308	S309	S310	S311	S312	S313	S314	S315	S316	S317	S318	S319	S320	S321	S322	S323	S324	S325	S326
V1	0	0.1	0.2	0.3	0.4	0.6	0.7	1	1.2	1.5	1.9	2.3	2.8	3.3	3.9	4.5	5.3	6	6.9	7.7	8.6	9.6	10.5	11.4	12.4	13.4	14.4	15.4	16.4	17.4	18.5	19.5	20.6	21.6	22.6	23.6	24.5	25.4	26.1	26.8	27.4	27.8	28.2	28.4	28.4	28.4	28.1	27.7	27.1	26.4	25.4	24.4	23.3	22.1	20.9	19.6	18.3	17.1	15.8	14.6	13.4	12.2	11.1	10	8.9	7.9	7	6.2	5.4	4.8	4.2	3.7	3.2	2.8	2.4	2.1	1.8	1.5	1.2	1	0.7	0.5	0.4	0.3	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.3	0.4	0.5	0.5	0.5	0.5	0.5	0.6	0.8	1	1.2	1.4	1.7	1.9	2.2	2.5	2.9	3.4	4	4.7	5.4	6.2	7.2	8.2	9.2	10.4	11.7	13	14.5	16	17.7	19.5	21.5	23.7	26	28.1	30	31.4	32.2	32.5	32.3	31.8	31.1	30.2	29.3	28.7	28.4	28.2	27.9	27.2	26	24.3	22.4	20.4	18.7	17.3	16.3	15.4	14.8	14.2	13.6	12.9	12.2	11.3	10.4	9.4	8.4	7.5	6.6	5.8	4.9	4.1	3.3	2.5	1.8	1.2	0.8	0.6	0.4	0.3	0.2	0.2	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.2	0.3	0.5	0.6	0.8	1	1.3	1.6	2	2.4	2.9	3.4	4.1	4.8	5.7	6.6	7.6	8.8	10.1	11.6	13.2	14.9	16.7	18.5	20.3	22.1	23.8	25.4	26.8	28.1	29.3	30.4	31.3	32.1	32.8	33.4	33.9	34.3	34.4	34.2	33.6	32.7	31.4	29.9	28.1	26.2	24.2	22.2	20.2	18.3	16.4	14.7	13.1	11.6	10.3	9	7.9	6.9	6	5.2	4.4	3.7	3.1	2.5	2	1.5	1.2	0.9	0.6	0.4	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.3	0.4	0.6	0.7	0.9	1.2	1.5	1.8	2.3	2.7	3.3	3.9	4.6	5.4	6.2	7	7.9	8.8	9.8	10.9	12	13	14.2	15.3	16.4	17.5	18.5	19.6	20.5	21.5	22.3	23.2	23.9	24.6	25.2	25.8	26.2	26.6	26.8	26.9	26.9	26.8	26.5	26.1	25.5	24.9	24.2	23.4	22.5	21.5	20.5	19.5	18.4	17.3	16.2	15.2	14.2	13.2	12.3	11.4	10.5	9.6	8.8	8	7.3	6.6	5.9	5.3	4.7	4.2	3.7	3.2	2.8	2.4	2.1	1.8	1.5	1.3	1	0.8	0.7	0.5	0.4	0.3	0.2	0.2	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.3	0.4	0.6	0.8	1	1.4	1.7	2.2	2.7	3.3	4	4.8	5.6	6.6	7.6	8.7	9.9	11.1	12.4	13.7	15.1	16.4	17.7	19.1	20.4	21.6	22.8	24	25.1	26.2	27.2	28	28.7	29.2	29.6	29.8	29.8	29.7	29.4	29	28.5	27.9	27.1	26.2	25.2	24.1	22.9	21.7	20.3	18.9	17.5	16.1	14.7	13.4	12.1	10.9	9.8	8.7	7.8	7	6.2	5.6	4.9	4.3	3.8	3.3	2.8	2.4	2	1.7	1.4	1.1	0.9	0.7	0.5	0.3	0.2	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.4	0.4	0.5	0.5	0.6	0.8	0.9	1.1	1.3	1.6	1.9	2.2	2.5	2.9	3.3	3.8	4.3	4.8	5.3	5.9	6.4	7	7.6	8.2	8.8	9.5	10.2	10.9	11.7	12.5	13.3	14.1	14.9	15.7	16.5	17.3	18	18.7	19.4	20	20.5	21	21.5	21.9	22.2	22.5	22.7	22.9	23	23.1	23.1	23	22.9	22.7	22.4	22	21.5	21	20.5	19.8	19.1	18.4	17.5	16.6	15.7	14.7	13.7	12.7	11.8	10.8	9.9	9	8.2	7.4	6.7	6	5.4	4.8	4.3	3.9	3.5	3.1	2.8	2.5	2.3	2	1.9	1.7	1.6	1.4	1.3	1.2	1.1	1	0.9	0.8	0.7	0.7	0.6	0.5	0.5	0.4	0.4	0.3	0.3	0.3	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.2	0.2	0.3	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.2	1.3	1.5	1.7	1.9	2.1	2.3	2.6	2.9	3.2	3.6	4	4.4	4.8	5.3	5.8	6.3	6.8	7.4	8	8.6	9.2	9.8	10.5	11.2	11.8	12.5	13.2	13.8	14.5	15.1	15.7	16.3	16.9	17.4	17.9	18.4	18.8	19.3	19.6	20	20.3	20.5	20.7	20.9	20.9	21	20.9	20.8	20.7	20.5	20.2	19.9	19.6	19.1	18.7	18.2	17.6	17	16.4	15.7	15.1	14.4	13.7	13.1	12.4	11.7	11.1	10.4	9.8	9.2	8.6	8	7.5	7	6.5	6	5.5	5.1	4.7	4.3	4	3.6	3.3	3	2.7	2.4	2.2	1.9	1.7	1.5	1.3	1.1	1	0.8	0.7	0.6	0.5	0.4	0.3	0.2	0.2	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.2	0.2	0.3	0.3	0.4	0.5	0.7	0.8	1	1.2	1.4	1.7	2	2.3	2.6	3	3.4	3.8	4.3	4.8	5.4	5.9	6.6	7.2	7.9	8.6	9.4	10.1	11	11.8	12.7	13.6	14.5	15.5	16.5	17.5	18.5	19.4	20.4	21.2	22	22.8	23.5	24.2	24.8	25.3	25.7	26	26.1	26.1	25.9	25.5	25	24.2	23.4	22.6	21.7	20.8	19.8	19	18.1	17.3	16.5	15.8	15	14.3	13.6	12.9	12.2	11.5	10.7	10	9.2	8.3	7.5	6.7	5.9	5.2	4.5	3.9	3.4	2.9	2.4	2	1.7	1.4	1.1	0.9	0.7	0.5	0.4	0.2	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.3	0.5	0.7	0.9	1.2	1.6	2.1	2.8	3.8	5.1	6.7	8.9	11.5	14.5	18	21.8	25.8	30	34.1	38.1	41.7	44.8	47.3	49	50	50.3	49.9	48.9	47.2	45	42.2	39.1	35.6	31.9	28.1	24.4	20.9	17.5	14.5	11.8	9.4	7.3	5.5	4.1	2.9	1.9	1.1	0.6	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.3	0.5	0.7	0.9	1.2	1.5	1.9	2.3	2.8	3.3	3.9	4.5	5.3	6.2	7.2	8.4	9.8	11.3	12.9	14.7	16.5	18.5	20.4	22.4	24.4	26.3	28.2	30	31.6	33	34.2	35	35.5	35.7	35.6	35.3	34.8	34.1	33.2	32	30.7	29.2	27.5	25.7	23.7	21.7	19.7	17.7	15.9	14.2	12.5	11.1	9.7	8.4	7.3	6.3	5.3	4.4	3.6	2.9	2.3	1.7	1.2	0.9	0.6	0.3	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
