	Population	LifeExpectancy	GDPPerCapita
R1	8425333	28.801	779.4453145
R2	9240934	30.332	820.8530296
R3	10267083	31.997	853.10071
R4	11537966	34.02	836.1971382
R5	13079460	36.088	739.9811058
R6	14880372	38.438	786.11336
R7	12881816	39.854	978.0114388
R8	13867957	40.822	852.3959448
R9	16317921	41.674	649.3413952
R10	22227415	41.763	635.341351
R11	25268405	42.129	726.7340548
R12	31889923	43.828	974.5803384
R13	1282697	55.23	1601.056136
R14	1476505	59.28	1942.284244
R15	1728137	64.82	2312.888958
R16	1984060	66.22	2760.196931
R17	2263554	67.69	3313.422188
R18	2509048	68.93	3533.00391
R19	2780097	70.42	3630.880722
R20	3075321	72	3738.932735
R21	3326498	71.581	2497.437901
R22	3428038	72.95	3193.054604
R23	3508512	75.651	4604.211737
R24	3600523	76.423	5937.029526
R25	9279525	43.077	2449.008185
R26	10270856	45.685	3013.976023
R27	11000948	48.303	2550.81688
R28	12760499	51.407	3246.991771
R29	14760787	54.518	4182.663766
R30	17152804	58.014	4910.416756
R31	20033753	61.368	5745.160213
R32	23254956	65.799	5681.358539
R33	26298373	67.744	5023.216647
R34	29072015	69.152	4797.295051
R35	31287142	70.994	5288.040382
R36	33333216	72.301	6223.367465
R37	4232095	30.015	3520.610273
R38	4561361	31.999	3827.940465
R39	4826015	34	4269.276742
R40	5247469	35.985	5522.776375
R41	5894858	37.928	5473.288005
R42	6162675	39.483	3008.647355
R43	7016384	39.942	2756.953672
R44	7874230	39.906	2430.208311
R45	8735988	40.647	2627.845685
R46	9875024	40.963	2277.140884
R47	10866106	41.003	2773.287312
R48	12420476	42.731	4797.231267
R49	17876956	62.485	5911.315053
R50	19610538	64.399	6856.856212
R51	21283783	65.142	7133.166023
R52	22934225	65.634	8052.953021
R53	24779799	67.065	9443.038526
R54	26983828	68.481	10079.02674
R55	29341374	69.942	8997.897412
R56	31620918	70.774	9139.671389
R57	33958947	71.868	9308.41871
R58	36203463	73.275	10967.28195
R59	38331121	74.34	8797.640716
R60	40301927	75.32	12779.37964
R61	8691212	69.12	10039.59564
R62	9712569	70.33	10949.64959
R63	10794968	70.93	12217.22686
R64	11872264	71.1	14526.12465
R65	13177000	71.93	16788.62948
R66	14074100	73.49	18334.19751
R67	15184200	74.74	19477.00928
R68	16257249	76.32	21888.88903
R69	17481977	77.56	23424.76683
R70	18565243	78.83	26997.93657
R71	19546792	80.37	30687.75473
R72	20434176	81.235	34435.36744
R73	6927772	66.8	6137.076492
R74	6965860	67.48	8842.59803
R75	7129864	69.54	10750.72111
R76	7376998	70.14	12834.6024
R77	7544201	70.63	16661.6256
R78	7568430	72.17	19749.4223
R79	7574613	73.18	21597.08362
R80	7578903	74.94	23687.82607
R81	7914969	76.04	27042.01868
R82	8069876	77.51	29095.92066
R83	8148312	78.98	32417.60769
R84	8199783	79.829	36126.4927
R85	120447	50.939	9867.084765
R86	138655	53.832	11635.79945
R87	171863	56.923	12753.27514
R88	202182	59.923	14804.6727
R89	230800	63.3	18268.65839
R90	297410	65.593	19340.10196
R91	377967	69.052	19211.14731
R92	454612	70.75	18524.02406
R93	529491	72.601	19035.57917
R94	598561	73.925	20292.01679
R95	656397	74.795	23403.55927
R96	708573	75.635	29796.04834
R97	46886859	37.484	684.2441716
