	Continent	Country	Year
R1	Asia	Afghanistan	1952
R2	Asia	Afghanistan	1957
R3	Asia	Afghanistan	1962
R4	Asia	Afghanistan	1967
R5	Asia	Afghanistan	1972
R6	Asia	Afghanistan	1977
R7	Asia	Afghanistan	1982
R8	Asia	Afghanistan	1987
R9	Asia	Afghanistan	1992
R10	Asia	Afghanistan	1997
R11	Asia	Afghanistan	2002
R12	Asia	Afghanistan	2007
R13	Europe	Albania	1952
R14	Europe	Albania	1957
R15	Europe	Albania	1962
R16	Europe	Albania	1967
R17	Europe	Albania	1972
R18	Europe	Albania	1977
R19	Europe	Albania	1982
R20	Europe	Albania	1987
R21	Europe	Albania	1992
R22	Europe	Albania	1997
R23	Europe	Albania	2002
R24	Europe	Albania	2007
R25	Africa	Algeria	1952
R26	Africa	Algeria	1957
R27	Africa	Algeria	1962
R28	Africa	Algeria	1967
R29	Africa	Algeria	1972
R30	Africa	Algeria	1977
R31	Africa	Algeria	1982
R32	Africa	Algeria	1987
R33	Africa	Algeria	1992
R34	Africa	Algeria	1997
R35	Africa	Algeria	2002
R36	Africa	Algeria	2007
R37	Africa	Angola	1952
R38	Africa	Angola	1957
R39	Africa	Angola	1962
R40	Africa	Angola	1967
R41	Africa	Angola	1972
R42	Africa	Angola	1977
R43	Africa	Angola	1982
R44	Africa	Angola	1987
R45	Africa	Angola	1992
R46	Africa	Angola	1997
R47	Africa	Angola	2002
R48	Africa	Angola	2007
R49	Americas	Argentina	1952
R50	Americas	Argentina	1957
R51	Americas	Argentina	1962
R52	Americas	Argentina	1967
R53	Americas	Argentina	1972
R54	Americas	Argentina	1977
R55	Americas	Argentina	1982
R56	Americas	Argentina	1987
R57	Americas	Argentina	1992
R58	Americas	Argentina	1997
R59	Americas	Argentina	2002
R60	Americas	Argentina	2007
R61	Oceania	Australia	1952
R62	Oceania	Australia	1957
R63	Oceania	Australia	1962
R64	Oceania	Australia	1967
R65	Oceania	Australia	1972
R66	Oceania	Australia	1977
R67	Oceania	Australia	1982
R68	Oceania	Australia	1987
R69	Oceania	Australia	1992
R70	Oceania	Australia	1997
R71	Oceania	Australia	2002
R72	Oceania	Australia	2007
