	sample	subject
EA832479	EA832479	CA013004-1-26
EA832490	EA832490	CA013004-1-26
EA836497	EA836497	CA013004-1-26
EA836498	EA836498	CA013004-1-26
EA832494	EA832494	CA013004-2-18
EA832495	EA832495	CA013004-2-18
EA836499	EA836499	CA013004-2-18
EA836500	EA836500	CA013004-2-18
EA832476	EA832476	CA013004-2-39
EA832480	EA832480	CA013004-2-39
EA836501	EA836501	CA013004-2-39
EA836502	EA836502	CA013004-2-39
EA832482	EA832482	CA013004-2-42
EA832500	EA832500	CA013004-2-42
EA836503	EA836503	CA013004-2-42
EA836504	EA836504	CA013004-2-42
EA832481	EA832481	CA013004-2-49
EA832493	EA832493	CA013004-2-49
EA836505	EA836505	CA013004-2-49
EA1011925A18	EA1011925A18	CA013004-2-50
EA832483	EA832483	CA013004-2-50
EA832491	EA832491	CA013004-2-50
EA836507	EA836507	CA013004-2-50
EA836508	EA836508	CA013004-2-50
EA1011925A25	EA1011925A25	CA013004-2-6
EA832498	EA832498	CA013004-2-6
EA832499	EA832499	CA013004-2-6
EA836509	EA836509	CA013004-2-6
EA836510	EA836510	CA013004-2-6
EA1011925A19	EA1011925A19	CA013004-3-27
EA832039	EA832039	CA013004-3-27
EA832486	EA832486	CA013004-3-27
EA832492	EA832492	CA013004-3-27
EA836511	EA836511	CA013004-3-27
EA836512	EA836512	CA013004-3-27
EA1011925A27	EA1011925A27	CA013004-3-7
EA832040	EA832040	CA013004-3-7
EA832496	EA832496	CA013004-3-7
EA832497	EA832497	CA013004-3-7
EA836488	EA836488	CA013004-3-7
EA836513	EA836513	CA013004-3-7
EA836514	EA836514	CA013004-3-7
EA1011925A30	EA1011925A30	CA013004-3-83
EA832487	EA832487	CA013004-3-83
EA832488	EA832488	CA013004-3-83
EA836515	EA836515	CA013004-3-83
EA836516	EA836516	CA013004-3-83
EA1011925A23	EA1011925A23	CA013004-4-38
EA832484	EA832484	CA013004-4-38
EA832501	EA832501	CA013004-4-38
EA836517	EA836517	CA013004-4-38
EA836518	EA836518	CA013004-4-38
EA1011925A24	EA1011925A24	CA013004-5-14
EA832489	EA832489	CA013004-5-14
EA1011925A4	EA1011925A4	CA013004-6-29
EA832514	EA832514	CA013004-6-29
EA832515	EA832515	CA013004-6-29
EA836521	EA836521	CA013004-6-29
EA836522	EA836522	CA013004-6-29
EA1011925A3	EA1011925A3	CA013004-6-31
EA832044	EA832044	CA013004-6-31
EA1011925A5	EA1011925A5	CA013004-6-35
EA832045	EA832045	CA013004-6-35
EA1011925A7	EA1011925A7	CA013004-6-47
EA832508	EA832508	CA013004-6-47
EA832513	EA832513	CA013004-6-47
EA836492	EA836492	CA013004-6-47
EA836493	EA836493	CA013004-6-47
EA836523	EA836523	CA013004-6-47
EA836524	EA836524	CA013004-6-47
EA1011925A6	EA1011925A6	CA013004-6-75
EA832519	EA832519	CA013004-6-75
EA1011925A13	EA1011925A13	CA013004-6-89
EA832506	EA832506	CA013004-6-89
EA832527	EA832527	CA013004-6-89
EA836526	EA836526	CA013004-6-89
EA836527	EA836527	CA013004-6-89
EA1011925A10	EA1011925A10	CA013004-7-28
EA832048	EA832048	CA013004-7-28
EA832502	EA832502	CA013004-7-28
EA832503	EA832503	CA013004-7-28
EA836494	EA836494	CA013004-7-28
EA836528	EA836528	CA013004-7-28
EA836529	EA836529	CA013004-7-28
EA1011925A8	EA1011925A8	CA013004-7-44
EA832504	EA832504	CA013004-7-44
EA832524	EA832524	CA013004-7-44
EA836530	EA836530	CA013004-7-44
EA836531	EA836531	CA013004-7-44
EA1011925A12	EA1011925A12	CA013004-7-69
EA832050	EA832050	CA013004-7-69
EA1011925A11	EA1011925A11	CA013004-7-70
EA832523	EA832523	CA013004-7-70
EA1011925A16	EA1011925A16	CA013004-8-117
EA832475	EA832475	CA013004-8-117
EA832526	EA832526	CA013004-8-117
EA836533	EA836533	CA013004-8-117
EA836534	EA836534	CA013004-8-117
EA1011925A9	EA1011925A9	CA013004-8-41
EA832051	EA832051	CA013004-8-41
EA832507	EA832507	CA013004-8-41
EA832509	EA832509	CA013004-8-41
EA836496	EA836496	CA013004-8-41
EA836535	EA836535	CA013004-8-41
EA836536	EA836536	CA013004-8-41
EA1011925A15	EA1011925A15	CA013004-8-53
EA832517	EA832517	CA013004-8-53
EA832518	EA832518	CA013004-8-53
EA836537	EA836537	CA013004-8-53
EA836538	EA836538	CA013004-8-53
EA1011925A2	EA1011925A2	CA013004-8-78
EA832510	EA832510	CA013004-8-78
EA832511	EA832511	CA013004-8-78
EA836539	EA836539	CA013004-8-78
EA836540	EA836540	CA013004-8-78
EA1011925A14	EA1011925A14	CA013004-8-79
EA832520	EA832520	CA013004-8-79
EA1011925A1	EA1011925A1	CA013004-8-84
EA832521	EA832521	CA013004-8-84
EA832525	EA832525	CA013004-8-84
