	weight
V1	49
V2	56
V3	60
V4	43
V5	57
V6	58
V7	52
V8	52
V9	52
V10	51
V11	53
V12	50
V13	51
V14	55
V15	60
V16	54
V17	52
V18	50
V19	51
V20	67
V21	56
V22	53
V23	53
V24	57
V25	52
V26	48
V27	58
V28	50
V29	55
V30	50
V31	61
V32	53
V33	51
V34	52
V35	47
V36	49
V37	44
V38	48
V39	54
V40	53
V41	62
V42	50
V43	51
V44	54
V45	50
V46	50
V47	49
V48	49
V49	52
V50	53
V51	46
V52	52
V53	49
V54	50
V55	54
V56	58
V57	63
V58	51
V59	63
V60	49
V61	58
V62	68
V63	55
V64	52
V65	55
V66	64
V67	49
V68	62
V69	62
V70	57
V71	55
V72	53
V73	53
V74	58
V75	65
V76	54
V77	48
V78	51
V79	56
V80	53
V81	54
V82	54
V83	48
V84	54
V85	59
V86	58
V87	58
V88	53
V89	54
V90	49
V91	55
V92	56
V93	64
V94	60
V95	53
V96	57
V97	49
V98	59
V99	60
V100	66
V101	57
V102	53
V103	55
V104	52
V105	51
V106	56
V107	51
V108	56
V109	57
V110	55
V111	54
V112	52
V113	49
V114	59
V115	55
V116	59
V117	49
V118	56
V119	58
V120	55
V121	54
V122	51
V123	65
V124	59
V125	64
V126	55
V127	52
V128	47
V129	52
V130	56
V131	60
V132	56
V133	49
V134	58
V135	47
V136	53
V137	53
V138	45
V139	60
V140	52
V141	53
V142	62
V143	58
V144	54
V145	58
V146	57
V147	63
V148	56
V149	58
V150	57
V151	53
V152	55
V153	63
V154	51
V155	56
V156	62
V157	54
V158	50
V159	51
V160	53
V161	51
V162	54
V163	53
V164	54
V165	57
V166	58
V167	63
V168	55
V169	53
V170	62
V171	64
V172	55
V173	53
V174	46
V175	62
V176	51
V177	49
V178	70
V179	56
V180	55
V181	41
V182	55
V183	60
V184	57
V185	60
V186	65
V187	61
V188	52
V189	59
V190	54
V191	52
V192	41
V193	51
V194	57
V195	66
V196	58
V197	58
V198	50
V199	56
V200	45
V201	67
V202	68
V203	66
V204	69
V205	67
V206	69
V207	74
V208	71
V209	65
V210	59
V211	67
V212	63
V213	72
V214	57
V215	63
V216	67
V217	64
V218	62
V219	63
V220	68
V221	69
V222	68
V223	76
V224	71
V225	66
V226	62
V227	80
V228	68
V229	62
V230	66
V231	63
V232	64
V233	60
V234	66
V235	67
V236	60
V237	49
V238	64
V239	65
V240	68
V241	65
V242	67
V243	60
V244	69
V245	69
V246	66
V247	72
V248	67
V249	66
V250	66
V251	67
V252	70
V253	67
V254	68
V255	59
V256	63
V257	72
V258	59
V259	66
V260	67
V261	70
V262	63
V263	66
V264	56
V265	67
V266	62
V267	64
V268	59
V269	67
V270	68
V271	63
V272	74
V273	68
V274	70
V275	75
V276	62
V277	69
V278	70
V279	65
V280	67
V281	60
V282	67
V283	61
V284	69
V285	61
V286	67
V287	61
V288	64
V289	57
V290	66
V291	70
V292	66
V293	56
V294	62
V295	73
V296	74
V297	59
V298	63
V299	67
V300	67
V301	62
V302	60
V303	64
V304	70
V305	65
V306	62
V307	62
V308	73
V309	63
V310	69
V311	72
V312	67
V313	63
V314	65
V315	63
V316	71
V317	64
V318	73
V319	62
V320	62
V321	66
V322	65
V323	62
V324	57
V325	65
V326	61
V327	70
V328	60
V329	71
V330	62
V331	66
V332	69
V333	62
V334	68
V335	65
V336	59
V337	64
V338	73
V339	64
V340	61
V341	65
V342	67
V343	70
V344	71
V345	66
V346	71
V347	61
V348	53
V349	63
V350	62
V351	53
V352	68
V353	61
V354	64
V355	57
V356	68
V357	74
V358	61
V359	64
V360	75
V361	70
V362	75
V363	65
V364	64
V365	62
V366	72
V367	59
V368	67
V369	65
V370	76
V371	62
V372	57
V373	66
V374	65
V375	61
V376	66
V377	64
V378	62
V379	68
V380	63
V381	56
V382	52
V383	62
V384	72
V385	69
V386	71
V387	70
V388	67
V389	57
V390	66
V391	73
V392	48
V393	61
V394	71
V395	68
V396	69
V397	67
V398	68
V399	65
V400	60
