	sex
V1	F
V2	F
V3	F
V4	F
V5	F
V6	F
V7	F
V8	F
V9	F
V10	F
V11	F
V12	F
V13	F
V14	F
V15	F
V16	F
V17	F
V18	F
V19	F
V20	F
V21	F
V22	F
V23	F
V24	F
V25	F
V26	F
V27	F
V28	F
V29	F
V30	F
V31	F
V32	F
V33	F
V34	F
V35	F
V36	F
V37	F
V38	F
V39	F
V40	F
V41	F
V42	F
V43	F
V44	F
V45	F
V46	F
V47	F
V48	F
V49	F
V50	F
V51	F
V52	F
V53	F
V54	F
V55	F
V56	F
V57	F
V58	F
V59	F
V60	F
V61	F
V62	F
V63	F
V64	F
V65	F
V66	F
V67	F
V68	F
V69	F
V70	F
V71	F
V72	F
V73	F
V74	F
V75	F
V76	F
V77	F
V78	F
V79	F
V80	F
V81	F
V82	F
V83	F
V84	F
V85	F
V86	F
V87	F
V88	F
V89	F
V90	F
V91	F
V92	F
V93	F
V94	F
V95	F
V96	F
V97	F
V98	F
V99	F
V100	F
V101	F
V102	F
V103	F
V104	F
V105	F
V106	F
V107	F
V108	F
V109	F
V110	F
V111	F
V112	F
V113	F
V114	F
V115	F
V116	F
V117	F
V118	F
V119	F
V120	F
V121	F
V122	F
V123	F
V124	F
V125	F
V126	F
V127	F
V128	F
V129	F
V130	F
V131	F
V132	F
V133	F
V134	F
V135	F
V136	F
V137	F
V138	F
V139	F
V140	F
V141	F
V142	F
V143	F
V144	F
V145	F
V146	F
V147	F
V148	F
V149	F
V150	F
V151	F
V152	F
V153	F
V154	F
V155	F
V156	F
V157	F
V158	F
V159	F
V160	F
V161	F
V162	F
V163	F
V164	F
V165	F
V166	F
V167	F
V168	F
V169	F
V170	F
V171	F
V172	F
V173	F
V174	F
V175	F
V176	F
V177	F
V178	F
V179	F
V180	F
V181	F
V182	F
V183	F
V184	F
V185	F
V186	F
V187	F
V188	F
V189	F
V190	F
V191	F
V192	F
V193	F
V194	F
V195	F
V196	F
V197	F
V198	F
V199	F
V200	F
V201	M
V202	M
V203	M
V204	M
V205	M
V206	M
V207	M
V208	M
V209	M
V210	M
V211	M
V212	M
V213	M
V214	M
V215	M
V216	M
V217	M
V218	M
V219	M
V220	M
V221	M
V222	M
V223	M
V224	M
V225	M
V226	M
V227	M
V228	M
V229	M
V230	M
V231	M
V232	M
V233	M
V234	M
V235	M
V236	M
V237	M
V238	M
V239	M
V240	M
V241	M
V242	M
V243	M
V244	M
V245	M
V246	M
V247	M
V248	M
V249	M
V250	M
V251	M
V252	M
V253	M
V254	M
V255	M
V256	M
V257	M
V258	M
V259	M
V260	M
V261	M
V262	M
V263	M
V264	M
V265	M
V266	M
V267	M
V268	M
V269	M
V270	M
V271	M
V272	M
V273	M
V274	M
V275	M
V276	M
V277	M
V278	M
V279	M
V280	M
V281	M
V282	M
V283	M
V284	M
V285	M
V286	M
V287	M
V288	M
V289	M
V290	M
V291	M
V292	M
V293	M
V294	M
V295	M
V296	M
V297	M
V298	M
V299	M
V300	M
V301	M
V302	M
V303	M
V304	M
V305	M
V306	M
V307	M
V308	M
V309	M
V310	M
V311	M
V312	M
V313	M
V314	M
V315	M
V316	M
V317	M
V318	M
V319	M
V320	M
V321	M
V322	M
V323	M
V324	M
V325	M
V326	M
V327	M
V328	M
V329	M
V330	M
V331	M
V332	M
V333	M
V334	M
V335	M
V336	M
V337	M
V338	M
V339	M
V340	M
V341	M
V342	M
V343	M
V344	M
V345	M
V346	M
V347	M
V348	M
V349	M
V350	M
V351	M
V352	M
V353	M
V354	M
V355	M
V356	M
V357	M
V358	M
V359	M
V360	M
V361	M
V362	M
V363	M
V364	M
V365	M
V366	M
V367	M
V368	M
V369	M
V370	M
V371	M
V372	M
V373	M
V374	M
V375	M
V376	M
V377	M
V378	M
V379	M
V380	M
V381	M
V382	M
V383	M
V384	M
V385	M
V386	M
V387	M
V388	M
V389	M
V390	M
V391	M
V392	M
V393	M
V394	M
V395	M
V396	M
V397	M
V398	M
V399	M
V400	M
