	Weight-Fem	Weight-Mas
V1	49	67
V2	56	68
V3	60	66
V4	43	69
V5	57	67
V6	58	69
V7	52	74
V8	52	71
V9	52	65
V10	51	59
V11	53	67
V12	50	63
V13	51	72
V14	55	57
V15	60	63
V16	54	67
V17	52	64
V18	50	62
V19	51	63
V20	67	68
V21	56	69
V22	53	68
V23	53	76
V24	57	71
V25	52	66
V26	48	62
V27	58	80
V28	50	68
V29	55	62
V30	50	66
V31	61	63
V32	53	64
V33	51	60
V34	52	66
V35	47	67
V36	49	60
V37	44	49
V38	48	64
V39	54	65
V40	53	68
V41	62	65
V42	50	67
V43	51	60
V44	54	69
V45	50	69
V46	50	66
V47	49	72
V48	49	67
V49	52	66
V50	53	66
V51	46	67
V52	52	70
V53	49	67
V54	50	68
V55	54	59
V56	58	63
V57	63	72
V58	51	59
V59	63	66
V60	49	67
V61	58	70
V62	68	63
V63	55	66
V64	52	56
V65	55	67
V66	64	62
V67	49	64
V68	62	59
V69	62	67
V70	57	68
V71	55	63
V72	53	74
V73	53	68
V74	58	70
V75	65	75
V76	54	62
V77	48	69
V78	51	70
V79	56	65
V80	53	67
V81	54	60
V82	54	67
V83	48	61
V84	54	69
V85	59	61
V86	58	67
V87	58	61
V88	53	64
V89	54	57
V90	49	66
V91	55	70
V92	56	66
V93	64	56
V94	60	62
V95	53	73
V96	57	74
V97	49	59
V98	59	63
V99	60	67
V100	66	67
V101	57	62
V102	53	60
V103	55	64
V104	52	70
V105	51	65
V106	56	62
V107	51	62
V108	56	73
V109	57	63
V110	55	69
V111	54	72
V112	52	67
V113	49	63
V114	59	65
V115	55	63
V116	59	71
V117	49	64
V118	56	73
V119	58	62
V120	55	62
V121	54	66
V122	51	65
V123	65	62
V124	59	57
V125	64	65
V126	55	61
V127	52	70
V128	47	60
V129	52	71
V130	56	62
V131	60	66
V132	56	69
V133	49	62
V134	58	68
V135	47	65
V136	53	59
V137	53	64
V138	45	73
V139	60	64
V140	52	61
V141	53	65
V142	62	67
V143	58	70
V144	54	71
V145	58	66
V146	57	71
V147	63	61
V148	56	53
V149	58	63
V150	57	62
V151	53	53
V152	55	68
V153	63	61
V154	51	64
V155	56	57
V156	62	68
V157	54	74
V158	50	61
V159	51	64
V160	53	75
V161	51	70
V162	54	75
V163	53	65
V164	54	64
V165	57	62
V166	58	72
V167	63	59
V168	55	67
V169	53	65
V170	62	76
V171	64	62
V172	55	57
V173	53	66
V174	46	65
V175	62	61
V176	51	66
V177	49	64
V178	70	62
V179	56	68
V180	55	63
V181	41	56
V182	55	52
V183	60	62
V184	57	72
V185	60	69
V186	65	71
V187	61	70
V188	52	67
V189	59	57
V190	54	66
V191	52	73
V192	41	48
V193	51	61
V194	57	71
V195	66	68
V196	58	69
V197	58	67
V198	50	68
V199	56	65
V200	45	60
