	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25
Probe1	0.784	1.036	-0.641	1.606	2.208	3.879	0.333	2.265	-1.55	1.678	-0.639	-0.533	-0.078	0.433	0.391	1.013	0.928	0.812	0.072	3.564	0.47	1.836	0.351	3.139	-2.207
Probe2	0.222	0.716	0.993	-0.913	0.996	1.235	1.396	1.817	0.162	1.137	-0.126	1.56	1.003	1.86	0.43	0.696	0.777	1.6	0.175	2.423	0.044	3.881	-0.757	1.486	0.01
Probe3	0.486	2.15	-0.069	-0.468	0.402	0.725	-1.697	0.653	0.101	2.852	-0.27	0.414	-0.789	1.877	1.555	2.511	0.07	0.244	-0.41	2.345	2.401	-0.033	0.951	2.053	0.725
Probe4	-1.857	0.698	0.528	1.024	-0.035	2.181	-0.015	3.68	-1.13	-0.842	-1.759	1.784	-0.673	0.147	0.765	1.585	0.33	1.481	-0.362	1.456	-0.719	0.961	1.296	2.375	0.208
Probe5	-1.19	1.564	-2.407	0.642	-0.51	4.116	-0.379	0.786	1.508	3.119	1.011	1.54	1.184	1.821	-0.217	2.752	0.083	1.663	0.568	2.48	-1.207	1.222	0.296	1.055	1.078
Probe6	0.256	1.214	1.919	0.577	1.07	1.53	1.537	3.063	0.481	2.332	-1.466	0.167	0.428	1.401	-1.716	3.524	-0.822	1.073	-1.825	3.923	-0.542	2.637	-1.296	0.759	0.836
Probe7	-0.443	0.286	0.379	1.076	0.478	3.443	-0.287	1.206	-1.275	2.275	1.101	2.821	-0.638	0.922	-0.205	2.318	0.494	1.648	-0.585	1.963	-0.636	1.229	0.998	1.523	-1.01
Probe8	1.023	-0.417	0.865	1.645	0.324	1.94	0.122	-0.171	0.352	1.42	-0.436	3.076	0.434	0.986	-1.912	3.899	-0.212	0.716	0.782	0.534	1.939	1.374	-0.083	2.318	0.982
Probe9	-2.33	0.575	-0.543	-0.38	-2.153	1.717	-1.219	0.725	0.273	1.908	0.488	1.426	0.108	2.586	0.653	0.317	0.112	3.138	0.212	1.393	-0.506	1.87	0.332	1.893	1.017
Probe10	0.841	0.146	0.716	-0.233	-0.206	0.237	-0.307	2.499	-1.619	1.957	-0.12	3.058	0.511	3.598	0.286	0.922	0.164	0.782	-3.468	0.262	0.812	0.798	1.209	2.964	-1.47
Probe11	-0.099	1.666	-1.635	1.475	-0.186	0.781	-1.919	1.472	-0.109	1.588	-0.379	0.862	-1.455	2.386	2.783	0.98	-0.136	1.042	0.532	1.778	0.463	0.647	0.92	2.427	-0.07
Probe12	0.663	-1.411	-0.69	-0.216	-0.735	1.878	-0.073	1.568	-1.254	3.792	-0.345	3.384	0.206	1.572	0.134	2.035	-0.26	2.42	0.437	2.164	-0.063	5.027	-0.166	3.878	-1.313
Probe13	-0.647	-1.152	3.437	-0.3	0.358	1.766	0.067	0.149	-1.005	1.191	-1.299	1.326	-2.378	1.8	-0.858	2.019	-1.357	2.278	-0.711	2.196	-0.243	3.326	-0.215	2.25	-0.504
Probe14	-0.264	-1.328	1.228	1.247	0.692	1.763	-0.978	2.781	-0.058	2.223	0.796	2.414	-1.834	3.203	0.459	2.914	0.375	3.309	0.946	0.943	-1.365	2.452	0.474	0.503	0.025
Probe15	0.253	-0.529	-0.429	-1.111	0.398	2.332	-1.334	2.202	-0.585	1.885	0.398	1.788	0.972	2.025	-0.835	0.622	0.001	0.837	-0.776	2.257	0.682	1.304	2.407	4.038	0.518
Probe16	-0.876	-1.41	0.538	-1.04	-0.717	-0.889	3.129	1.202	3.398	0.398	3.857	1.372	4.813	-1.311	4.029	-0.432	3.01	0.756	4.688	0.294	4.61	0.859	4.498	1.794	3.319
Probe17	-0.363	0.042	-0.253	-0.076	-1.27	-0.904	2.931	-0.119	2.669	-0.165	6.023	-0.65	2.031	1.424	2.844	-1.019	4.062	-0.025	2.637	-0.317	4.228	-0.142	3.013	0.611	3.74
