	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
V1	52.79	24.71	14.35	22.23	42.42	12.38	19.18	19.6	51.81	20.2
V2	53.39	28.1	8.02	24.12	21.36	28.89	16.29	27.44	38.8	18.3
V3	31.11	13.84	16.32	7.62	29.04	2.66	11.83	8.6	52.39	8.55
V4	42.48	6.54	14.22	6.19	51.77	6.26	6.4	4.32	47.32	3.13
V5	21.44	8.39	17.61	1.59	42.14	6.91	14.92	5.04	30.25	20.55
V6	47.6	25.45	7.53	6.22	40.27	10.96	28.39	19.22	37.05	11.5
V7	22.9	23.06	3.38	25.36	31.83	1.15	25.07	10.77	23.24	24.39
V8	35.39	3.88	19.33	20.16	42.14	21.13	25.74	24.42	25.39	2.43
V9	52.37	6.73	13.85	11.98	21.89	4.12	24.02	19	25.97	23.68
V10	52.58	23.67	7.66	21.44	47.43	4.87	22.18	20.36	52.05	2.86
V11	31.75	16.88	21.22	1.41	45.79	26.28	17.74	9.64	22.42	9.45
V12	24.37	4.16	24.06	23.13	41.6	27.75	13.84	7.34	45.81	16.44
V13	46.31	15.54	6.64	22.44	52.65	14.93	5.5	24.09	22.05	9.59
V14	35.7	19.79	2.5	26.23	34.06	23.88	16.45	7.96	24.18	3.22
V15	35.47	5.46	8.68	2.91	22.42	6.71	1.83	22.89	28.1	14.21
V16	52.58	27.38	27.51	14.4	47.27	15.92	13.59	26.11	33	23.06
V17	38.08	15.55	28.65	28.74	47.06	16.09	20.78	26.79	43.36	22.28
V18	53.38	7.1	26.57	11.79	40.73	26.29	26.21	5.92	53.16	6.62
V19	29.9	13.26	7.23	5.38	53.67	28.59	25.78	21.36	52.78	13.46
V20	52.6	19.51	14.72	15.76	52.13	11.8	1.05	20.58	29.03	17.05
V21	32.48	24.14	21.4	11.61	32.99	7.31	10.01	27.88	43.2	1.14
V22	30.62	26.5	26.38	24.57	21.88	20.69	13.17	13.96	41.89	28.89
V23	43.32	18.91	11.68	22.23	26.85	11.23	25.33	2.87	46.3	9.78
V24	22.35	22.74	27.62	12.85	36.96	1.77	26.33	2.53	27.88	26.44
V25	52.04	3.77	14.24	14.65	28.39	14.11	25.47	21.81	42.57	18.74
V26	47.25	13.18	26.74	17.95	53.01	26.92	1.61	4.51	30.27	7.34
V27	25.46	16.02	25.93	11.33	53.77	17.54	1.39	24.03	23.83	13.23
V28	22.81	10.33	24.77	26.01	28.95	23.99	12.01	17.69	35.64	12.08
V29	49.27	26.71	6.64	14.77	51.25	28.48	1.55	10.43	31.01	17.18
V30	42.41	10.58	15.27	14.52	40.17	22.83	12.05	1.56	22.99	27.03
V31	45.11	18.03	2.03	22.29	47.98	18.79	1.27	3.41	30.1	9.83
V32	52.17	16.1	19.34	5.16	42.09	20.79	20.52	1.7	29.79	28.78
V33	42.62	6.73	9.88	20.52	32.33	23.13	27.96	18.97	47.05	26.31
V34	34.15	27.79	1.84	8.72	23.68	13.74	8.7	13.29	45.97	10.63
V35	53.41	8.13	27.7	1.16	33.81	17.28	17.65	3.52	26.6	1.81
V36	46.08	16.98	2.9	6.39	48.8	14.27	1.16	19.95	26.05	16.55
V37	47.68	20.6	26.02	2.24	30.25	5.2	27.69	27.32	25.77	1.83
V38	43.9	17.09	3.2	27.51	21.37	25.93	26.64	20.24	33.7	17.47
V39	48.23	13.08	5.52	7.6	49.08	28.7	8.77	13.11	32.41	2.72
V40	33.18	9.4	10.42	21.24	44.66	25.64	12.85	7.75	21.55	28.84
V41	42.38	23.57	21.18	25.08	43.04	11.07	14.21	1.42	32.97	21.7
V42	30.55	3.97	4.38	28.78	39.17	12.88	4.53	18.51	48.28	7.76
V43	41.59	14.67	21.58	15.97	32.76	6.12	26.85	15.79	41.7	7.31
V44	46	15.58	27.91	1.88	31.55	28.62	14.72	15.09	52.69	8.05
V45	52.78	22.19	15.16	1.41	45.68	9.69	12.1	7.3	21.85	3.27
V46	47.42	27.04	15.18	26.67	23.72	24.41	28.73	22.77	22.13	8.03
