	Species
s1	setosa
s2	setosa
s3	setosa
s4	setosa
s5	setosa
s6	setosa
s7	setosa
s8	setosa
s9	setosa
s10	setosa
s11	setosa
s12	setosa
s13	setosa
s14	setosa
s15	setosa
s16	setosa
s17	setosa
s18	setosa
s19	setosa
s20	setosa
s21	setosa
s22	setosa
s23	setosa
s24	setosa
s25	setosa
s26	setosa
s27	setosa
s28	setosa
s29	setosa
s30	setosa
s31	setosa
s32	setosa
s33	setosa
s34	setosa
s35	setosa
s36	setosa
s37	setosa
s38	setosa
s39	setosa
s40	setosa
s41	setosa
s42	setosa
s43	setosa
s44	setosa
s45	setosa
s46	setosa
s47	setosa
s48	setosa
s49	setosa
s50	setosa
s51	versicolor
s52	versicolor
s53	versicolor
s54	versicolor
s55	versicolor
s56	versicolor
s57	versicolor
s58	versicolor
s59	versicolor
s60	versicolor
s61	versicolor
s62	versicolor
s63	versicolor
s64	versicolor
s65	versicolor
s66	versicolor
s67	versicolor
s68	versicolor
s69	versicolor
s70	versicolor
s71	versicolor
s72	versicolor
s73	versicolor
s74	versicolor
s75	versicolor
s76	versicolor
s77	versicolor
s78	versicolor
s79	versicolor
s80	versicolor
s81	versicolor
s82	versicolor
s83	versicolor
s84	versicolor
s85	versicolor
s86	versicolor
s87	versicolor
s88	versicolor
s89	versicolor
s90	versicolor
s91	versicolor
s92	versicolor
s93	versicolor
s94	versicolor
s95	versicolor
s96	versicolor
s97	versicolor
s98	versicolor
s99	versicolor
s100	versicolor
s101	virginica
s102	virginica
s103	virginica
s104	virginica
s105	virginica
s106	virginica
s107	virginica
s108	virginica
s109	virginica
s110	virginica
s111	virginica
s112	virginica
s113	virginica
s114	virginica
s115	virginica
s116	virginica
s117	virginica
s118	virginica
s119	virginica
s120	virginica
s121	virginica
s122	virginica
s123	virginica
s124	virginica
s125	virginica
s126	virginica
s127	virginica
s128	virginica
s129	virginica
s130	virginica
s131	virginica
s132	virginica
s133	virginica
s134	virginica
s135	virginica
s136	virginica
s137	virginica
s138	virginica
s139	virginica
s140	virginica
s141	virginica
s142	virginica
s143	virginica
s144	virginica
s145	virginica
s146	virginica
s147	virginica
s148	virginica
s149	virginica
s150	virginica
