	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width
s1	5.1	3.5	1.4	0.2
s2	4.9	3	1.4	0.2
s3	4.7	3.2	1.3	0.2
s4	4.6	3.1	1.5	0.2
s5	5	3.6	1.4	0.2
s6	5.4	3.9	1.7	0.4
s7	4.6	3.4	1.4	0.3
s8	5	3.4	1.5	0.2
s9	4.4	2.9	1.4	0.2
s10	4.9	3.1	1.5	0.1
s11	5.4	3.7	1.5	0.2
s12	4.8	3.4	1.6	0.2
s13	4.8	3	1.4	0.1
s14	4.3	3	1.1	0.1
s15	5.8	4	1.2	0.2
s16	5.7	4.4	1.5	0.4
s17	5.4	3.9	1.3	0.4
s18	5.1	3.5	1.4	0.3
s19	5.7	3.8	1.7	0.3
s20	5.1	3.8	1.5	0.3
s21	5.4	3.4	1.7	0.2
s22	5.1	3.7	1.5	0.4
s23	4.6	3.6	1	0.2
s24	5.1	3.3	1.7	0.5
s25	4.8	3.4	1.9	0.2
s26	5	3	1.6	0.2
s27	5	3.4	1.6	0.4
s28	5.2	3.5	1.5	0.2
s29	5.2	3.4	1.4	0.2
s30	4.7	3.2	1.6	0.2
s31	4.8	3.1	1.6	0.2
s32	5.4	3.4	1.5	0.4
s33	5.2	4.1	1.5	0.1
s34	5.5	4.2	1.4	0.2
s35	4.9	3.1	1.5	0.2
s36	5	3.2	1.2	0.2
s37	5.5	3.5	1.3	0.2
s38	4.9	3.6	1.4	0.1
s39	4.4	3	1.3	0.2
s40	5.1	3.4	1.5	0.2
s41	5	3.5	1.3	0.3
s42	4.5	2.3	1.3	0.3
s43	4.4	3.2	1.3	0.2
s44	5	3.5	1.6	0.6
s45	5.1	3.8	1.9	0.4
s46	4.8	3	1.4	0.3
s47	5.1	3.8	1.6	0.2
s48	4.6	3.2	1.4	0.2
s49	5.3	3.7	1.5	0.2
s50	5	3.3	1.4	0.2
s51	7	3.2	4.7	1.4
s52	6.4	3.2	4.5	1.5
s53	6.9	3.1	4.9	1.5
s54	5.5	2.3	4	1.3
s55	6.5	2.8	4.6	1.5
s56	5.7	2.8	4.5	1.3
s57	6.3	3.3	4.7	1.6
s58	4.9	2.4	3.3	1
s59	6.6	2.9	4.6	1.3
s60	5.2	2.7	3.9	1.4
s61	5	2	3.5	1
s62	5.9	3	4.2	1.5
s63	6	2.2	4	1
s64	6.1	2.9	4.7	1.4
s65	5.6	2.9	3.6	1.3
s66	6.7	3.1	4.4	1.4
s67	5.6	3	4.5	1.5
s68	5.8	2.7	4.1	1
s69	6.2	2.2	4.5	1.5
s70	5.6	2.5	3.9	1.1
s71	5.9	3.2	4.8	1.8
s72	6.1	2.8	4	1.3
s73	6.3	2.5	4.9	1.5
s74	6.1	2.8	4.7	1.2
s75	6.4	2.9	4.3	1.3
s76	6.6	3	4.4	1.4
s77	6.8	2.8	4.8	1.4
s78	6.7	3	5	1.7
s79	6	2.9	4.5	1.5
s80	5.7	2.6	3.5	1
s81	5.5	2.4	3.8	1.1
s82	5.5	2.4	3.7	1
s83	5.8	2.7	3.9	1.2
s84	6	2.7	5.1	1.6
s85	5.4	3	4.5	1.5
s86	6	3.4	4.5	1.6
s87	6.7	3.1	4.7	1.5
s88	6.3	2.3	4.4	1.3
s89	5.6	3	4.1	1.3
s90	5.5	2.5	4	1.3
s91	5.5	2.6	4.4	1.2
s92	6.1	3	4.6	1.4
s93	5.8	2.6	4	1.2
s94	5	2.3	3.3	1
s95	5.6	2.7	4.2	1.3
s96	5.7	3	4.2	1.2
s97	5.7	2.9	4.2	1.3
s98	6.2	2.9	4.3	1.3
s99	5.1	2.5	3	1.1
s100	5.7	2.8	4.1	1.3
s101	6.3	3.3	6	2.5
s102	5.8	2.7	5.1	1.9
s103	7.1	3	5.9	2.1
s104	6.3	2.9	5.6	1.8
s105	6.5	3	5.8	2.2
s106	7.6	3	6.6	2.1
s107	4.9	2.5	4.5	1.7
s108	7.3	2.9	6.3	1.8
s109	6.7	2.5	5.8	1.8
s110	7.2	3.6	6.1	2.5
s111	6.5	3.2	5.1	2
s112	6.4	2.7	5.3	1.9
s113	6.8	3	5.5	2.1
s114	5.7	2.5	5	2
s115	5.8	2.8	5.1	2.4
s116	6.4	3.2	5.3	2.3
s117	6.5	3	5.5	1.8
s118	7.7	3.8	6.7	2.2
s119	7.7	2.6	6.9	2.3
s120	6	2.2	5	1.5
s121	6.9	3.2	5.7	2.3
s122	5.6	2.8	4.9	2
s123	7.7	2.8	6.7	2
s124	6.3	2.7	4.9	1.8
s125	6.7	3.3	5.7	2.1
s126	7.2	3.2	6	1.8
s127	6.2	2.8	4.8	1.8
s128	6.1	3	4.9	1.8
s129	6.4	2.8	5.6	2.1
s130	7.2	3	5.8	1.6
s131	7.4	2.8	6.1	1.9
s132	7.9	3.8	6.4	2
s133	6.4	2.8	5.6	2.2
s134	6.3	2.8	5.1	1.5
s135	6.1	2.6	5.6	1.4
s136	7.7	3	6.1	2.3
s137	6.3	3.4	5.6	2.4
s138	6.4	3.1	5.5	1.8
s139	6	3	4.8	1.8
s140	6.9	3.1	5.4	2.1
s141	6.7	3.1	5.6	2.4
s142	6.9	3.1	5.1	2.3
s143	5.8	2.7	5.1	1.9
s144	6.8	3.2	5.9	2.3
s145	6.7	3.3	5.7	2.5
s146	6.7	3	5.2	2.3
s147	6.3	2.5	5	1.9
s148	6.5	3	5.2	2
s149	6.2	3.4	5.4	2.3
s150	5.9	3	5.1	1.8
