id1	id2	value
Id1	Id0	1
Id2	Id0	8
Id3	Id0	10
Id3	Id2	6
Id4	Id0	1
Id5	Id0	1
Id6	Id0	1
Id7	Id0	1
Id8	Id0	2
Id9	Id0	1
Id11	Id10	1
Id11	Id3	3
Id11	Id2	3
Id11	Id0	5
Id12	Id11	1
Id13	Id11	1
Id14	Id11	1
Id15	Id11	1
Id17	Id16	4
Id18	Id16	4
Id18	Id17	4
Id19	Id16	4
Id19	Id17	4
Id19	Id18	4
Id20	Id16	3
Id20	Id17	3
Id20	Id18	3
Id20	Id19	4
Id21	Id16	3
Id21	Id17	3
Id21	Id18	3
Id21	Id19	3
Id21	Id20	5
Id22	Id16	3
Id22	Id17	3
Id22	Id18	3
Id22	Id19	3
Id22	Id20	4
Id22	Id21	4
Id23	Id16	3
Id23	Id17	3
Id23	Id18	3
Id23	Id19	3
Id23	Id20	4
Id23	Id21	4
Id23	Id22	4
Id23	Id12	2
Id23	Id11	9
Id24	Id23	2
Id24	Id11	7
Id25	Id24	13
Id25	Id23	1
Id25	Id11	12
Id26	Id24	4
Id26	Id11	31
Id26	Id16	1
Id26	Id25	1
Id27	Id11	17
Id27	Id23	5
Id27	Id25	5
Id27	Id24	1
Id27	Id26	1
Id28	Id11	8
Id28	Id27	1
Id29	Id23	1
Id29	Id27	1
Id29	Id11	2
Id30	Id23	1
Id31	Id30	2
Id31	Id11	3
Id31	Id23	2
Id31	Id27	1
Id32	Id11	1
Id33	Id11	2
Id33	Id27	1
Id34	Id11	3
Id34	Id29	2
Id35	Id11	3
Id35	Id34	3
Id35	Id29	2
Id36	Id34	2
Id36	Id35	2
Id36	Id11	2
Id36	Id29	1
Id37	Id34	2
Id37	Id35	2
Id37	Id36	2
Id37	Id11	2
Id37	Id29	1
Id38	Id34	2
Id38	Id35	2
Id38	Id36	2
Id38	Id37	2
Id38	Id11	2
Id38	Id29	1
Id39	Id25	1
Id40	Id25	1
Id41	Id24	2
Id41	Id25	3
Id42	Id41	2
Id42	Id25	2
Id42	Id24	1
Id43	Id11	3
Id43	Id26	1
Id43	Id27	1
Id44	Id28	3
Id44	Id11	1
Id45	Id28	2
Id47	Id46	1
Id48	Id47	2
Id48	Id25	1
Id48	Id27	1
Id48	Id11	1
Id49	Id26	3
Id49	Id11	2
Id50	Id49	1
Id50	Id24	1
Id51	Id49	9
Id51	Id26	2
Id51	Id11	2
Id52	Id51	1
Id52	Id39	1
Id53	Id51	1
Id54	Id51	2
Id54	Id49	1
Id54	Id26	1
Id55	Id51	6
Id55	Id49	12
Id55	Id39	1
Id55	Id54	1
Id55	Id26	21
Id55	Id11	19
Id55	Id16	1
Id55	Id25	2
Id55	Id41	5
Id55	Id48	4
Id56	Id49	1
Id56	Id55	1
Id57	Id55	1
Id57	Id41	1
Id57	Id48	1
Id58	Id55	7
Id58	Id48	7
Id58	Id27	6
Id58	Id57	1
Id58	Id11	4
Id59	Id58	15
Id59	Id55	5
Id59	Id48	6
Id59	Id57	2
Id60	Id48	1
Id60	Id58	4
Id60	Id59	2
Id61	Id48	2
Id61	Id58	6
Id61	Id60	2
Id61	Id59	5
Id61	Id57	1
Id61	Id55	1
Id62	Id55	9
Id62	Id58	17
Id62	Id59	13
Id62	Id48	7
Id62	Id57	2
Id62	Id41	1
Id62	Id61	6
Id62	Id60	3
Id63	Id59	5
Id63	Id48	5
Id63	Id62	6
Id63	Id57	2
Id63	Id58	4
Id63	Id61	3
Id63	Id60	2
Id63	Id55	1
Id64	Id55	5
Id64	Id62	12
Id64	Id48	5
Id64	Id63	4
Id64	Id58	10
Id64	Id61	6
Id64	Id60	2
Id64	Id59	9
Id64	Id57	1
Id64	Id11	1
Id65	Id63	5
Id65	Id64	7
Id65	Id48	3
Id65	Id62	5
Id65	Id58	5
Id65	Id61	5
Id65	Id60	2
Id65	Id59	5
Id65	Id57	1
Id65	Id55	2
Id66	Id64	3
Id66	Id58	3
Id66	Id59	1
Id66	Id62	2
Id66	Id65	2
Id66	Id48	1
Id66	Id63	1
Id66	Id61	1
Id66	Id60	1
Id67	Id57	3
Id68	Id25	5
Id68	Id11	1
Id68	Id24	1
Id68	Id27	1
Id68	Id48	1
Id68	Id41	1
Id69	Id25	6
Id69	Id68	6
Id69	Id11	1
Id69	Id24	1
Id69	Id27	2
Id69	Id48	1
Id69	Id41	1
Id70	Id25	4
Id70	Id69	4
Id70	Id68	4
Id70	Id11	1
Id70	Id24	1
Id70	Id27	1
Id70	Id41	1
Id70	Id58	1
Id71	Id27	1
Id71	Id69	2
Id71	Id68	2
Id71	Id70	2
Id71	Id11	1
Id71	Id48	1
Id71	Id41	1
Id71	Id25	1
Id72	Id26	2
Id72	Id27	1
Id72	Id11	1
Id73	Id48	2
Id74	Id48	2
Id74	Id73	3
Id75	Id69	3
Id75	Id68	3
Id75	Id25	3
Id75	Id48	1
Id75	Id41	1
Id75	Id70	1
Id75	Id71	1
Id76	Id64	1
Id76	Id65	1
Id76	Id66	1
Id76	Id63	1
Id76	Id62	1
Id76	Id48	1
Id76	Id58	1
