	Time
s1	Time1
s2	Time1
s3	Time1
s4	Time1
s5	Time1
s6	Time2
s7	Time2
s8	Time2
s9	Time2
s10	Time2
s11	Time3
s12	Time3
s13	Time3
s14	Time3
s15	Time3
s16	Time4
s17	Time4
s18	Time4
s19	Time4
s20	Time4
s21	Time5
s22	Time5
s23	Time5
s24	Time5
s25	Time5
s26	Time6
s27	Time6
s28	Time6
s29	Time6
s30	Time6
s31	Time7
s32	Time7
s33	Time7
s34	Time7
s35	Time7
s36	Time8
s37	Time8
s38	Time8
s39	Time8
s40	Time8
s41	Time9
s42	Time9
s43	Time9
s44	Time9
s45	Time9
s46	Time10
s47	Time10
s48	Time10
s49	Time10
s50	Time10
s51	Time11
s52	Time11
s53	Time11
s54	Time11
s55	Time11
s56	Time12
s57	Time12
s58	Time12
s59	Time12
s60	Time12
s61	Time13
s62	Time13
s63	Time13
s64	Time13
s65	Time13
s66	Time14
s67	Time14
s68	Time14
s69	Time14
s70	Time14
s71	Time15
s72	Time15
s73	Time15
s74	Time15
s75	Time15
s76	Time16
s77	Time16
s78	Time16
s79	Time16
s80	Time16
s81	Time17
s82	Time17
s83	Time17
s84	Time17
s85	Time17
s86	Time18
s87	Time18
s88	Time18
s89	Time18
s90	Time18
s91	Time19
s92	Time19
s93	Time19
s94	Time19
s95	Time19
s96	Time20
s97	Time20
s98	Time20
s99	Time20
s100	Time20
s101	Time21
s102	Time21
s103	Time21
s104	Time21
s105	Time21
s106	Time22
s107	Time22
s108	Time22
s109	Time22
s110	Time22
s111	Time23
s112	Time23
s113	Time23
s114	Time23
s115	Time23
s116	Time24
s117	Time24
s118	Time24
s119	Time24
s120	Time24
s121	Time25
s122	Time25
s123	Time25
s124	Time25
s125	Time25
s126	Time26
s127	Time26
s128	Time26
s129	Time26
s130	Time26
s131	Time27
s132	Time27
s133	Time27
s134	Time27
s135	Time27
s136	Time28
s137	Time28
s138	Time28
s139	Time28
s140	Time28
s141	Time29
s142	Time29
s143	Time29
s144	Time29
s145	Time29
s146	Time30
s147	Time30
s148	Time30
s149	Time30
s150	Time30
