id1	id2
n2	n1
n3	n1
n3	n2
n4	n1
n4	n2
n4	n3
n5	n1
n6	n1
n7	n1
n7	n5
n7	n6
n8	n1
n8	n2
n8	n3
n8	n4
n9	n1
n9	n3
n10	n3
n11	n1
n11	n5
n11	n6
n12	n1
n13	n1
n13	n4
n14	n1
n14	n2
n14	n3
n14	n4
n17	n6
n17	n7
n18	n1
n18	n2
n20	n1
n20	n2
n22	n1
n22	n2
n26	n24
n26	n25
n28	n3
n28	n24
n28	n25
n29	n3
n30	n24
n30	n27
n31	n2
n31	n9
n32	n1
n32	n25
n32	n26
n32	n29
n33	n3
n33	n9
n33	n15
n33	n16
n33	n19
n33	n21
n33	n23
n33	n24
n33	n30
n33	n31
n33	n32
n34	n9
n34	n10
n34	n14
n34	n15
n34	n16
n34	n19
n34	n20
n34	n21
n34	n23
n34	n24
n34	n27
n34	n28
n34	n29
n34	n30
n34	n31
n34	n32
n34	n33
