color	id
rgb(255,0,0)	n1
rgb(255,0,0)	n2
rgb(255,0,0)	n3
rgb(255,0,0)	n4
rgb(255,0,0)	n5
rgb(255,0,0)	n6
rgb(255,0,0)	n7
rgb(255,0,0)	n8
rgb(255,0,0)	n9
rgb(255,0,0)	n10
rgb(255,0,0)	n11
rgb(255,0,0)	n12
rgb(255,0,0)	n13
rgb(255,0,0)	n14
rgb(255,0,0)	n15
rgb(255,0,0)	n16
rgb(255,0,0)	n17
rgb(255,0,0)	n18
rgb(255,0,0)	n19
rgb(255,0,0)	n20
rgb(255,0,0)	n21
rgb(255,0,0)	n22
rgb(255,0,0)	n23
rgb(255,0,0)	n24
rgb(255,0,0)	n25
rgb(255,0,0)	n26
rgb(255,0,0)	n27
rgb(255,0,0)	n28
rgb(255,0,0)	n29
rgb(255,0,0)	n30
rgb(255,0,0)	n31
rgb(255,0,0)	n32
rgb(255,0,0)	n33
rgb(255,0,0)	n34
