	Source	Target	Weight
smp1	Brazil	Portugal	1
smp2	Brazil	France	1
smp3	Brazil	Spain	1
smp4	Brazil	England	1
smp5	Canada	Portugal	2
smp6	Canada	France	2
smp7	Canada	England	2
smp8	Mexico	Portugal	3
smp9	Mexico	France	3
smp10	Mexico	Spain	3
smp11	Mexico	England	3
smp12	USA	Portugal	4
smp13	USA	France	4
smp14	USA	Spain	4
smp15	USA	England	4
smp16	Portugal	Angola	13
smp17	Portugal	Senegal	13
smp18	Portugal	Morocco	13
smp19	Portugal	SouthAfrica	13
smp20	France	Angola	5
smp21	France	Senegal	5
smp22	France	Mali	5
smp23	France	Morocco	5
smp24	France	SouthAfrica	5
smp25	Spain	Senegal	6
smp26	Spain	Morocco	6
smp27	Spain	SouthAfrica	6
smp28	England	Angola	7
smp29	England	Senegal	7
smp30	England	Morocco	7
smp31	England	SouthAfrica	7
smp32	SouthAfrica	China	8
smp33	SouthAfrica	India	8
smp34	SouthAfrica	Japan	8
smp35	Angola	China	9
smp36	Angola	India	9
smp37	Angola	Japan	9
smp38	Senegal	China	10
smp39	Senegal	India	10
smp40	Senegal	Japan	10
smp41	Mali	China	11
smp42	Mali	India	11
smp43	Mali	Japan	11
smp44	Morocco	China	12
smp45	Morocco	India	12
smp46	Morocco	Japan	12
