	Sample1	Sample2	Sample3
Variable1	-5	5	5
Variable2	-5	15	15
Variable3	-5	25	25
Variable4	-5	35	35
Variable5	-5	45	45
Variable6	-5	35	55
Variable7	-5	25	65
Variable8	-5	15	75
Variable9	-5	5	85
Variable10	-15	15	5
Variable11	-15	25	15
Variable12	-15	35	25
Variable13	-15	45	35
Variable14	-15	55	45
Variable15	-15	45	55
Variable16	-15	35	65
Variable17	-15	25	75
Variable18	-15	15	85
Variable19	-25	25	5
Variable20	-25	35	15
Variable21	-25	45	25
Variable22	-25	55	35
Variable23	-25	65	45
Variable24	-25	55	55
Variable25	-25	45	65
Variable26	-25	35	75
Variable27	-25	25	85
Variable28	-35	35	5
Variable29	-35	45	15
Variable30	-35	55	25
Variable31	-35	65	35
Variable32	-35	75	45
Variable33	-35	65	55
Variable34	-35	55	65
Variable35	-35	45	75
Variable36	-35	35	85
Variable37	-45	45	5
Variable38	-45	55	15
Variable39	-45	65	25
Variable40	-45	75	35
Variable41	-45	85	45
Variable42	-45	75	55
Variable43	-45	65	65
Variable44	-45	55	75
Variable45	-45	45	85
Variable46	-55	35	5
Variable47	-55	45	15
Variable48	-55	55	25
Variable49	-55	65	35
Variable50	-55	75	45
Variable51	-55	65	55
Variable52	-55	55	65
Variable53	-55	45	75
Variable54	-55	35	85
Variable55	-65	25	5
Variable56	-65	35	15
Variable57	-65	45	25
Variable58	-65	55	35
Variable59	-65	65	45
Variable60	-65	55	55
Variable61	-65	45	65
Variable62	-65	35	75
Variable63	-65	25	85
Variable64	-75	15	5
Variable65	-75	25	15
Variable66	-75	35	25
Variable67	-75	45	35
Variable68	-75	55	45
Variable69	-75	45	55
Variable70	-75	35	65
Variable71	-75	25	75
Variable72	-75	15	85
Variable73	-85	5	5
Variable74	-85	15	15
Variable75	-85	25	25
Variable76	-85	35	35
Variable77	-85	45	45
Variable78	-85	35	55
Variable79	-85	25	65
Variable80	-85	15	75
Variable81	-85	5	85
