	AveExpr	logFC	-log-pVal
Gene1	0.94	1.399	3.5508
Gene2	0.923	1.917	3.3186
Gene3	-0.234	-1.15	2.8226
Gene4	0.326	-1.329	2.7428
Gene5	0.159	-1.05	2.5841
Gene6	0.062	-0.896	2.4041
Gene7	-0.057	1.006	2.1794
Gene8	0.004	-1.016	2.0992
Gene9	-0.23	0.816	2.0522
Gene10	-0.134	1.174	2.0317
Gene11	0.024	-0.648	2.003
Gene12	0.298	-0.621	1.999
Gene13	-0.246	-0.576	1.8406
Gene14	-0.416	1.327	1.8405
Gene15	-0.149	0.74	1.8137
Gene16	0.144	0.624	1.7512
Gene17	-0.134	0.626	1.7371
Gene18	-0.25	-0.873	1.716
Gene19	0.109	-0.944	1.655
Gene20	0.155	-0.671	1.6509
Gene21	0.022	0.616	1.633
Gene22	-0.154	-0.519	1.5754
Gene23	0.133	0.912	1.5739
Gene24	0.032	0.692	1.5642
Gene25	0.215	-0.601	1.5373
Gene26	-0.052	0.576	1.5266
Gene27	0.233	0.534	1.5025
Gene28	0.103	-0.531	1.4939
Gene29	0.277	0.545	1.4886
Gene30	0.654	-2.438	1.485
Gene31	-0.114	0.772	1.4845
Gene32	-0.179	-0.741	1.4601
Gene33	-0.002	0.535	1.4464
Gene34	-0.222	0.809	1.4417
Gene35	0.113	-0.544	1.4238
Gene36	0.15	-0.506	1.3955
Gene37	-0.144	-0.562	1.3811
Gene38	0.033	-0.458	1.3751
Gene39	0.165	-0.659	1.35
Gene40	0.096	0.591	1.3475
Gene41	-0.022	0.481	1.345
Gene42	0.025	-0.937	1.3431
Gene43	-0.337	0.475	1.3338
Gene44	-0.036	0.687	1.3194
Gene45	0.07	-0.505	1.3086
Gene46	0.142	0.491	1.3038
Gene47	0.209	0.803	1.2919
Gene48	-0.085	0.647	1.2828
Gene49	-0.325	-0.721	1.2789
Gene50	0.158	-0.477	1.2772
Gene51	0.026	0.56	1.2702
Gene52	0.182	-0.441	1.266
Gene53	0.039	-0.654	1.2501
Gene54	0.146	-0.607	1.2441
Gene55	-0.101	0.411	1.2361
Gene56	0.407	0.811	1.2338
Gene57	-0.117	0.76	1.2275
Gene58	0.231	0.477	1.2126
Gene59	0.284	0.648	1.1959
Gene60	-0.011	0.446	1.1935
Gene61	-0.063	0.52	1.1886
Gene62	-0.415	-0.616	1.1866
Gene63	-0.16	0.49	1.1846
Gene64	-0.37	0.453	1.1759
Gene65	0.162	0.436	1.1721
Gene66	-0.215	0.599	1.168
Gene67	0.243	-0.502	1.1633
