	FC	Group
Gene1	3.0	Increased
Gene2	3.0	Increased
Gene3	2.0	Decreased
Gene4	2.0	Decreased
Gene5	2.0	Decreased
Gene6	2.0	Decreased
Gene7	2.0	Increased
Gene8	2.0	Decreased
Gene9	2.0	Increased
Gene10	2.0	Increased
Gene11	2.0	Decreased
Gene12	1.0	Decreased
Gene13	1.0	Decreased
Gene14	1.0	Increased
Gene15	1.0	Increased
Gene16	1.0	Increased
Gene17	1.0	Increased
Gene18	1.0	Decreased
Gene19	1.0	Decreased
Gene20	1.0	Decreased
Gene21	1.0	Increased
Gene22	1.0	Decreased
Gene23	1.0	Increased
Gene24	1.0	Increased
Gene25	1.0	Decreased
Gene26	1.0	Increased
Gene27	1.0	Increased
Gene28	1.0	Decreased
Gene29	1.0	Increased
Gene30	1.0	Decreased
Gene31	1.0	Increased
Gene32	1.0	Decreased
Gene33	1.0	Increased
Gene34	1.0	Increased
Gene35	1.0	Decreased
Gene36	1.0	Decreased
Gene37	1.0	Decreased
Gene38	1.0	NoChange
Gene39	1.0	Decreased
Gene40	1.0	Increased
Gene41	1.0	NoChange
Gene42	1.0	Decreased
Gene43	1.0	NoChange
Gene44	1.0	Increased
Gene45	1.0	Decreased
Gene46	1.0	NoChange
Gene47	1.0	Increased
Gene48	1.0	Increased
Gene49	1.0	Decreased
Gene50	1.0	NoChange
Gene51	1.0	Increased
Gene52	1.0	NoChange
Gene53	1.0	Decreased
Gene54	1.0	Decreased
Gene55	1.0	NoChange
Gene56	1.0	Increased
Gene57	1.0	Increased
Gene58	1.0	NoChange
Gene59	1.0	Increased
Gene60	1.0	NoChange
Gene61	1.0	Increased
Gene62	1.0	Decreased
Gene63	1.0	NoChange
Gene64	1.0	NoChange
Gene65	1.0	NoChange
Gene66	1.0	Increased
Gene67	1.0	Decreased
Gene68	1.0	NoChange
Gene69	1.0	Increased
Gene70	1.0	Increased
Gene71	1.0	Increased
Gene72	1.0	Increased
Gene73	1.0	Increased
Gene74	1.0	Decreased
Gene75	1.0	Decreased
Gene76	1.0	Decreased
Gene77	1.0	Decreased
Gene78	1.0	NoChange
Gene79	1.0	NoChange
Gene80	1.0	NoChange
Gene81	1.0	Decreased
Gene82	1.0	Decreased
Gene83	1.0	NoChange
Gene84	1.0	NoChange
Gene85	1.0	Decreased
Gene86	1.0	Decreased
Gene87	1.0	NoChange
Gene88	1.0	Decreased
Gene89	1.0	Increased
Gene90	1.0	Increased
Gene91	1.0	NoChange
Gene92	1.0	Increased
Gene93	1.0	Decreased
Gene94	1.0	NoChange
Gene95	1.0	NoChange
Gene96	1.0	NoChange
Gene97	1.0	Decreased
Gene98	1.0	Decreased
Gene99	1.0	NoChange
Gene100	0.0	NoChange
Gene101	0.0	NoChange
Gene102	0.0	Decreased
Gene103	0.0	NoChange
Gene104	0.0	NoChange
Gene105	0.0	NoChange
Gene106	0.0	NoChange
Gene107	0.0	NoChange
Gene108	0.0	Increased
Gene109	0.0	NoChange
Gene110	0.0	NoChange
Gene111	0.0	NoChange
Gene112	0.0	NoChange
Gene113	0.0	NoChange
Gene114	0.0	NoChange
Gene115	0.0	NoChange
Gene116	0.0	NoChange
Gene117	0.0	Decreased
Gene118	0.0	NoChange
Gene119	0.0	NoChange
Gene120	0.0	Decreased
Gene121	0.0	Increased
Gene122	0.0	NoChange
Gene123	0.0	Decreased
Gene124	0.0	NoChange
