	logFC-X	logFC-Y
Gene1	0.59	0.02
Gene2	0.8	0.34
Gene3	1.08	0.9
Gene4	0.32	-0.63
Gene5	1.18	0.84
Gene6	-0.15	0.35
Gene7	-0.82	-0.34
Gene8	0.39	0.52
Gene9	1.06	0.74
Gene10	2	0.62
Gene11	-0.02	0.02
Gene12	-1.54	-1.53
Gene13	1.48	0.57
Gene14	0.54	-0.34
Gene15	1.46	1.13
Gene16	0.88	0.49
Gene17	-0.02	-0.71
Gene18	-1.05	-1.35
Gene19	1.06	0.88
Gene20	0.53	-0.43
Gene21	-0.28	-0.21
Gene22	-2.32	-2.57
Gene23	1.78	1.57
Gene24	0.72	0.29
Gene25	0.7	0.7
Gene26	-0.29	-0.35
Gene27	0.48	-1.17
Gene28	0.56	0.21
Gene29	-0.21	0.82
Gene30	1.7	0.2
Gene31	-0.6	0.24
Gene32	0.71	1.78
Gene33	0.01	0.34
Gene34	0.4	-0.82
Gene35	-1.16	-1.3
Gene36	0.57	0.2
Gene37	-1.31	-0.98
Gene38	0.35	1.74
Gene39	1.25	0.8
Gene40	0	0.01
Gene41	0.58	0.49
Gene42	-0.32	0.01
Gene43	0.41	1.35
Gene44	0.81	0.22
Gene45	1.44	0.93
Gene46	-0.47	0.2
Gene47	-2.66	-2.38
Gene48	0.92	1.36
Gene49	-0.2	0.49
Gene50	0.71	0.31
Gene51	1.39	1.45
Gene52	0.47	1.75
Gene53	0.86	1.13
Gene54	0.82	1.89
Gene55	0.96	1.27
Gene56	-0.93	-0.83
Gene57	0.61	0.65
Gene58	1.06	0.21
Gene59	0.26	1.04
Gene60	0.59	1.05
Gene61	0.57	0.7
Gene62	-1.28	-0.79
Gene63	1.07	0.55
Gene64	-0.52	-0.06
Gene65	1.71	1.14
Gene66	-0.17	0.31
Gene67	2	1.92
Gene68	-0.59	-1.35
Gene69	0.35	0.73
Gene70	-0.19	-0.43
Gene71	-0.76	0.13
Gene72	0.9	1.15
Gene73	-1.4	-1.8
Gene74	0	0.58
Gene75	0.78	0.49
Gene76	-0.25	0.07
Gene77	1.65	0.68
Gene78	0.75	-0.25
Gene79	2.16	0.89
Gene80	0.07	-0.47
Gene81	-0.65	-1.68
Gene82	0.34	0.73
Gene83	-1.19	-1.16
Gene84	2.09	1.28
Gene85	-0.2	0.48
Gene86	0.01	-0.53
Gene87	-0.79	-0.37
Gene88	0.74	-0.23
Gene89	1.09	0.68
Gene90	1.05	-0.51
Gene91	-0.91	-1.02
Gene92	0.33	1.39
Gene93	-0.73	-0.31
Gene94	0.66	1.18
Gene95	-0.59	0.44
Gene96	1.61	0.79
Gene97	-0.38	0.43
Gene98	0.65	0.29
Gene99	-0.22	-0.84
Gene100	-0.86	-1.05
Gene101	-0.66	-0.95
Gene102	1.49	1.29
Gene103	-0.54	-0.5
Gene104	0.92	0.34
Gene105	-0.78	-1.15
Gene106	-0.3	0.12
Gene107	-1.53	-1.39
Gene108	0.36	-0.78
Gene109	0.76	1.22
Gene110	-1.02	-1.49
Gene111	1.73	1.99
Gene112	0.54	1.37
Gene113	0.69	0.9
Gene114	-2.06	-1.93
Gene115	0	0.12
Gene116	-1.68	-1.25
Gene117	-0.1	-1.33
Gene118	1.54	1.76
Gene119	-0.36	-1.03
Gene120	-0.29	-1.99
Gene121	0.13	-0.87
Gene122	-1.93	-0.51
Gene123	-0.38	-1.66
Gene124	0.03	0.62
Gene125	-0.65	-1.74
Gene126	0.57	0.07
Gene127	0	0.54
Gene128	0.33	-0.16
Gene129	0.27	1.29
Gene130	0.53	0.51
Gene131	-0.44	-1.16
Gene132	-2.42	-1.52
Gene133	-1.04	-1.56
Gene134	0.73	1.62
Gene135	0.41	0.58
Gene136	1.36	1.62
Gene137	-0.21	-1.09
Gene138	0.37	-0.27
Gene139	-1.43	-0.83
Gene140	0.68	0.97
Gene141	-1.02	0.28
Gene142	-0.35	0.32
Gene143	0.23	0.86
Gene144	1.14	1.02
Gene145	-0.16	-0.16
Gene146	1.35	2.17
Gene147	1.35	0.51
Gene148	-0.25	-0.2
Gene149	0.06	-0.03
Gene150	-1.12	-1.18
Gene151	0.02	0.13
Gene152	1.75	1.29
Gene153	-1.1	-1.24
Gene154	1.21	0.65
Gene155	1.08	0.85
Gene156	-0.99	-1.52
Gene157	0.51	-0.3
Gene158	0.38	0.79
Gene159	1.44	1.26
Gene160	0.97	1.63
Gene161	-0.46	-0.87
Gene162	-0.47	0.39
Gene163	-0.27	0.06
Gene164	0.19	0.58
Gene165	0.82	-0.05
Gene166	-0.28	0.58
Gene167	-1.11	-1.71
Gene168	-1.94	-2.04
Gene169	1.18	0.7
Gene170	-0.75	-0.46
Gene171	0.17	0.46
Gene172	0.01	-0.67
Gene173	-1.38	-1.92
Gene174	-0.02	-0.01
Gene175	-0.2	-0.87
Gene176	-0.93	-1.08
Gene177	0	0.12
Gene178	1.91	2.1
Gene179	2.71	2.13
Gene180	0.9	-0.21
Gene181	0.06	1.14
Gene182	0.35	0.57
Gene183	-0.56	-0.09
Gene184	-1.16	-1.13
Gene185	0.71	1.11
Gene186	-0.87	-0.67
Gene187	-2.69	-3.12
Gene188	-2.34	-1.68
Gene189	0.43	-0.05
Gene190	0.82	0.84
Gene191	-0.84	-1.26
Gene192	0.25	0.02
Gene193	-0.73	-1.02
Gene194	-0.09	0.2
Gene195	-0.21	-0.79
Gene196	-0.02	0.05
Gene197	0.57	0.12
Gene198	0.18	0.37
Gene199	-1.18	-0.88
Gene200	-1.19	-0.68
Gene201	1.65	1.39
Gene202	0.03	0.16
Gene203	-0.4	-0.31
Gene204	-2.05	-2.49
Gene205	0.37	-0.19
Gene206	-0.87	-0.07
Gene207	1.77	2.06
Gene208	1.73	1.17
Gene209	-1.21	-1.58
Gene210	-0.62	-1.06
Gene211	-1	-1.35
Gene212	0.15	0.97
Gene213	0.93	0.93
Gene214	1.98	1.59
Gene215	0.97	0.55
Gene216	0.76	1.69
Gene217	-0.86	-0.86
Gene218	-0.71	-1.89
Gene219	0.81	0.44
Gene220	-0.46	-0.55
Gene221	-0.42	0.22
Gene222	-1.69	-2.52
Gene223	-0.36	-0.27
Gene224	0.04	-0.19
Gene225	-0.7	-1.69
Gene226	0.36	0.5
Gene227	-1.6	-0.24
Gene228	1.81	0.76
Gene229	-0.1	0.86
Gene230	0.23	0.47
Gene231	0.4	-0.02
Gene232	0.91	0.13
Gene233	0.62	0.12
Gene234	0.29	1.2
Gene235	0.9	0.09
Gene236	-0.39	-1.11
Gene237	1.96	1.99
Gene238	-0.28	-0.28
Gene239	-1.08	-0.9
Gene240	0.16	-0.11
Gene241	0.52	0.46
Gene242	-0.46	-0.6
Gene243	-0.87	-0.07
Gene244	-1.1	-1.07
Gene245	-1.46	-1.24
Gene246	1.48	1.28
Gene247	0.16	0.52
Gene248	0.49	0.18
Gene249	0.81	-0.05
Gene250	-1.64	-1.46
Gene251	0.23	0.93
Gene252	2.09	2.13
Gene253	-0.32	-0.14
Gene254	-0.5	-0.39
Gene255	-0.26	-0.87
Gene256	0.18	0.04
Gene257	-0.71	-0.66
Gene258	1.9	1.75
Gene259	0.81	-0.35
Gene260	-0.03	-0.03
Gene261	-0.7	-0.78
Gene262	2.16	0.33
