	Group	Hit
Gene1	Not Significant	N
Gene2	Not Significant	N
Gene3	Not Significant	N
Gene4	Not Significant	N
Gene5	Not Significant	N
Gene6	Not Significant	N
Gene7	Unique-X	Y
Gene8	Not Significant	N
Gene9	Not Significant	N
Gene10	Unique-Y	Y
Gene11	Not Significant	N
Gene12	Not Significant	N
Gene13	Not Significant	N
Gene14	Not Significant	N
Gene15	Not Significant	N
Gene16	Unique-X	Y
Gene17	Not Significant	N
Gene18	Not Significant	N
Gene19	Not Significant	N
Gene20	Not Significant	N
Gene21	Unique-Y	Y
Gene22	Common	Y
Gene23	Not Significant	N
Gene24	Not Significant	N
Gene25	Not Significant	N
Gene26	Not Significant	N
Gene27	Not Significant	N
Gene28	Not Significant	N
Gene29	Not Significant	N
Gene30	Not Significant	N
Gene31	Unique-X	Y
Gene32	Unique-Y	Y
Gene33	Not Significant	N
Gene34	Not Significant	N
Gene35	Unique-Y	Y
Gene36	Not Significant	N
Gene37	Not Significant	N
Gene38	Not Significant	N
Gene39	Not Significant	N
Gene40	Not Significant	N
Gene41	Not Significant	N
Gene42	Not Significant	N
Gene43	Not Significant	N
Gene44	Not Significant	N
Gene45	Not Significant	N
Gene46	Not Significant	N
Gene47	Common	Y
Gene48	Common	Y
Gene49	Not Significant	N
Gene50	Not Significant	N
Gene51	Not Significant	N
Gene52	Not Significant	N
Gene53	Not Significant	N
Gene54	Not Significant	N
Gene55	Not Significant	N
Gene56	Not Significant	N
Gene57	Not Significant	N
Gene58	Not Significant	N
Gene59	Not Significant	N
Gene60	Not Significant	N
Gene61	Not Significant	N
Gene62	Not Significant	N
Gene63	Not Significant	N
Gene64	Not Significant	N
Gene65	Not Significant	N
Gene66	Not Significant	N
Gene67	Unique-Y	Y
Gene68	Not Significant	N
Gene69	Not Significant	N
Gene70	Not Significant	N
Gene71	Not Significant	N
Gene72	Not Significant	N
Gene73	Not Significant	N
Gene74	Not Significant	N
Gene75	Not Significant	N
Gene76	Not Significant	N
Gene77	Not Significant	N
Gene78	Unique-X	Y
Gene79	Not Significant	N
Gene80	Not Significant	N
Gene81	Not Significant	N
Gene82	Not Significant	N
Gene83	Not Significant	N
Gene84	Not Significant	N
Gene85	Not Significant	N
Gene86	Not Significant	N
Gene87	Not Significant	N
Gene88	Not Significant	N
Gene89	Not Significant	N
Gene90	Not Significant	N
Gene91	Not Significant	N
Gene92	Not Significant	N
Gene93	Not Significant	N
Gene94	Unique-X	Y
Gene95	Not Significant	N
Gene96	Not Significant	N
Gene97	Not Significant	N
Gene98	Not Significant	N
Gene99	Not Significant	N
Gene100	Not Significant	N
