	Row	Sample1	Sample2
Gene1	1	5.64	5.74
Gene2	2	5.23	5.59
Gene3	3	5.13	5.51
Gene4	4	5.01	5.29
Gene5	5	4.82	5.27
Gene6	6	4.74	5.17
Gene7	7	4.64	5.1
Gene8	8	4.64	5.08
Gene9	9	4.54	4.96
Gene10	10	4.53	4.93
Gene11	11	4.5	4.84
Gene12	12	4.48	4.82
Gene13	13	4.28	4.8
Gene14	14	4.28	4.79
Gene15	15	4.26	4.75
Gene16	16	4.26	4.74
Gene17	17	4.23	4.63
Gene18	18	4.22	4.58
Gene19	19	4.2	4.57
Gene20	20	4.15	4.52
Gene21	21	4.13	4.5
Gene22	22	4.12	4.43
Gene23	23	4.1	4.42
Gene24	24	4.07	4.41
Gene25	25	4.06	4.41
Gene26	26	4.05	4.41
Gene27	27	4.05	4.4
Gene28	28	4	4.38
Gene29	29	3.99	4.36
Gene30	30	3.96	4.36
Gene31	31	3.93	4.29
Gene32	32	3.89	4.29
Gene33	33	3.88	4.28
Gene34	34	3.87	4.28
Gene35	35	3.87	4.27
Gene36	36	3.86	4.24
Gene37	37	3.84	4.21
Gene38	38	3.84	4.18
Gene39	39	3.84	4.16
Gene40	40	3.83	4.15
Gene41	41	3.83	4.15
Gene42	42	3.83	4.13
Gene43	43	3.82	4.12
Gene44	44	3.8	4.12
Gene45	45	3.79	4.11
Gene46	46	3.78	4.08
Gene47	47	3.78	4.07
Gene48	48	3.73	4
Gene49	49	3.72	4
Gene50	50	3.72	3.98
Gene51	51	3.7	3.98
Gene52	52	3.7	3.97
Gene53	53	3.69	3.96
Gene54	54	3.68	3.95
Gene55	55	3.67	3.95
Gene56	56	3.66	3.94
Gene57	57	3.66	3.93
Gene58	58	3.65	3.92
Gene59	59	3.63	3.92
Gene60	60	3.61	3.91
Gene61	61	3.6	3.91
Gene62	62	3.6	3.89
Gene63	63	3.58	3.88
Gene64	64	3.58	3.88
Gene65	65	3.56	3.88
Gene66	66	3.56	3.87
Gene67	67	3.56	3.87
Gene68	68	3.53	3.87
Gene69	69	3.53	3.86
Gene70	70	3.53	3.86
Gene71	71	3.53	3.86
Gene72	72	3.52	3.85
Gene73	73	3.51	3.85
Gene74	74	3.49	3.85
Gene75	75	3.49	3.84
Gene76	76	3.49	3.83
Gene77	77	3.49	3.83
Gene78	78	3.49	3.83
Gene79	79	3.49	3.83
Gene80	80	3.48	3.83
Gene81	81	3.48	3.82
Gene82	82	3.48	3.82
Gene83	83	3.48	3.81
Gene84	84	3.48	3.8
Gene85	85	3.46	3.8
Gene86	86	3.46	3.8
Gene87	87	3.45	3.79
Gene88	88	3.43	3.79
Gene89	89	3.42	3.78
Gene90	90	3.42	3.77
Gene91	91	3.4	3.77
Gene92	92	3.4	3.76
Gene93	93	3.38	3.75
Gene94	94	3.38	3.73
Gene95	95	3.36	3.73
Gene96	96	3.35	3.72
Gene97	97	3.34	3.72
Gene98	98	3.34	3.72
Gene99	99	3.33	3.71
Gene100	100	3.33	3.71
Gene101	101	3.32	3.69
Gene102	102	3.32	3.68
Gene103	103	3.31	3.68
Gene104	104	3.3	3.66
Gene105	105	3.27	3.66
Gene106	106	3.26	3.63
Gene107	107	3.26	3.63
Gene108	108	3.26	3.62
Gene109	109	3.23	3.61
Gene110	110	3.23	3.61
Gene111	111	3.23	3.6
Gene112	112	3.22	3.6
Gene113	113	3.21	3.59
Gene114	114	3.21	3.58
Gene115	115	3.21	3.58
Gene116	116	3.2	3.57
Gene117	117	3.2	3.57
Gene118	118	3.2	3.57
Gene119	119	3.19	3.56
Gene120	120	3.19	3.56
Gene121	121	3.19	3.56
Gene122	122	3.18	3.56
Gene123	123	3.18	3.55
Gene124	124	3.18	3.55
Gene125	125	3.17	3.54
Gene126	126	3.16	3.54
Gene127	127	3.16	3.54
Gene128	128	3.16	3.52
Gene129	129	3.15	3.52
Gene130	130	3.15	3.52
Gene131	131	3.15	3.51
Gene132	132	3.14	3.5
Gene133	133	3.14	3.5
Gene134	134	3.13	3.5
Gene135	135	3.12	3.48
Gene136	136	3.12	3.48
Gene137	137	3.12	3.46
Gene138	138	3.12	3.45
Gene139	139	3.11	3.45
Gene140	140	3.11	3.44
Gene141	141	3.1	3.44
Gene142	142	3.1	3.44
Gene143	143	3.1	3.44
Gene144	144	3.1	3.43
Gene145	145	3.09	3.41
Gene146	146	3.09	3.4
Gene147	147	3.09	3.39
Gene148	148	3.09	3.39
Gene149	149	3.09	3.38
Gene150	150	3.08	3.38
Gene151	151	3.08	3.38
Gene152	152	3.08	3.37
Gene153	153	3.07	3.37
Gene154	154	3.07	3.36
Gene155	155	3.07	3.36
Gene156	156	3.07	3.36
Gene157	157	3.07	3.36
Gene158	158	3.06	3.35
Gene159	159	3.05	3.34
Gene160	160	3.05	3.33
Gene161	161	3.05	3.33
Gene162	162	3.04	3.33
Gene163	163	3.03	3.33
Gene164	164	3.03	3.33
Gene165	165	3.02	3.32
Gene166	166	3.02	3.31
Gene167	167	3.01	3.31
Gene168	168	3.01	3.31
Gene169	169	3.01	3.3
Gene170	170	3.01	3.28
Gene171	171	3.01	3.28
Gene172	172	3	3.28
Gene173	173	2.99	3.28
Gene174	174	2.98	3.28
Gene175	175	2.98	3.27
Gene176	176	2.98	3.27
Gene177	177	2.98	3.27
Gene178	178	2.97	3.26
Gene179	179	2.97	3.26
Gene180	180	2.97	3.25
Gene181	181	2.96	3.25
Gene182	182	2.96	3.25
Gene183	183	2.96	3.25
Gene184	184	2.96	3.24
Gene185	185	2.95	3.23
Gene186	186	2.95	3.23
Gene187	187	2.95	3.23
Gene188	188	2.95	3.23
Gene189	189	2.94	3.22
Gene190	190	2.94	3.2
Gene191	191	2.94	3.2
Gene192	192	2.93	3.2
Gene193	193	2.92	3.19
Gene194	194	2.92	3.18
Gene195	195	2.92	3.17
Gene196	196	2.92	3.17
Gene197	197	2.91	3.16
Gene198	198	2.91	3.16
Gene199	199	2.9	3.15
Gene200	200	2.89	3.15
Gene201	201	2.89	3.14
Gene202	202	2.88	3.14
Gene203	203	2.87	3.14
Gene204	204	2.87	3.13
Gene205	205	2.87	3.13
Gene206	206	2.86	3.13
Gene207	207	2.86	3.13
Gene208	208	2.86	3.13
Gene209	209	2.85	3.13
Gene210	210	2.84	3.12
Gene211	211	2.84	3.11
Gene212	212	2.83	3.11
Gene213	213	2.83	3.11
Gene214	214	2.82	3.11
Gene215	215	2.82	3.1
Gene216	216	2.82	3.1
Gene217	217	2.82	3.09
Gene218	218	2.82	3.08
Gene219	219	2.81	3.07
Gene220	220	2.81	3.07
Gene221	221	2.81	3.07
Gene222	222	2.81	3.07
Gene223	223	2.81	3.06
Gene224	224	2.8	3.06
Gene225	225	2.8	3.06
Gene226	226	2.8	3.06
Gene227	227	2.8	3.06
Gene228	228	2.8	3.05
Gene229	229	2.79	3.05
Gene230	230	2.79	3.05
Gene231	231	2.78	3.05
Gene232	232	2.78	3.05
Gene233	233	2.78	3.05
Gene234	234	2.78	3.05
Gene235	235	2.78	3.04
Gene236	236	2.77	3.04
Gene237	237	2.77	3.04
Gene238	238	2.77	3.03
Gene239	239	2.76	3.02
