	U-Trial 1	U-Trial 2	U-Trial 3	S-Trial 1	S-Trial 2	S-Trial 3
s1	38.4	27.7	25.7	53.1	30.6	30.2
s2	46.2	57.2	41.9	54.7	43.3	56.7
s3	72.5	57.9	51.9	74.2	53.4	42.4
s4	38	38	32.2	49.6	37.4	34.4
s5	82.8	57.9	64.7	53.6	48.6	44.8
s6	33.9	32	31.4	51.3	35.5	42.9
s7	50.4	40.6	40.1	44.1	46.9	42.7
s8	35	33.1	43.2	34	26.4	24.8
s9	32.8	26.8	33.9	34.5	25.1	25.1
s10	60.1	53.2	40.4	59.1	87.1	59.2
s11	75.1	63.1	58	67.3	43.8	42.2
s12	57.6	57.7	61.5	75.5	126.6	48.4
s13	55.5	63.3	44.6	41.1	41.8	32
s14	49.5	45.8	35.3	52.2	53.8	48.1
s15	40.9	35.7	37.2	28.3	26	33.7
s16	44.3	46.8	39.4	74.9	45.3	42.6
s17	93.8	91.9	77.4	77.5	55.8	54.9
s18	47.9	59.9	52.8	50.9	58.6	64.5
s19	75.2	54.1	63.6	70.1	44	43.1
s20	46.2	39.3	56.6	60.3	47.8	52.8
s21	56.3	45.8	58.9	59.9	36.8	44.3
