	dose	order	supp
Var1	0.5	1	VC
Var2	0.5	2	VC
Var3	0.5	3	VC
Var4	0.5	4	VC
Var5	0.5	5	VC
Var6	0.5	6	VC
Var7	0.5	7	VC
Var8	0.5	8	VC
Var9	0.5	9	VC
Var10	0.5	10	VC
Var11	1	1	VC
Var12	1	2	VC
Var13	1	3	VC
Var14	1	4	VC
Var15	1	5	VC
Var16	1	6	VC
Var17	1	7	VC
Var18	1	8	VC
Var19	1	9	VC
Var20	1	10	VC
Var21	2	1	VC
Var22	2	2	VC
Var23	2	3	VC
Var24	2	4	VC
Var25	2	5	VC
Var26	2	6	VC
Var27	2	7	VC
Var28	2	8	VC
Var29	2	9	VC
Var30	2	10	VC
Var31	0.5	1	OJ
Var32	0.5	2	OJ
Var33	0.5	3	OJ
Var34	0.5	4	OJ
Var35	0.5	5	OJ
Var36	0.5	6	OJ
Var37	0.5	7	OJ
Var38	0.5	8	OJ
Var39	0.5	9	OJ
Var40	0.5	10	OJ
Var41	1	1	OJ
Var42	1	2	OJ
Var43	1	3	OJ
Var44	1	4	OJ
Var45	1	5	OJ
Var46	1	6	OJ
Var47	1	7	OJ
Var48	1	8	OJ
Var49	1	9	OJ
Var50	1	10	OJ
Var51	2	1	OJ
Var52	2	2	OJ
Var53	2	3	OJ
Var54	2	4	OJ
Var55	2	5	OJ
Var56	2	6	OJ
Var57	2	7	OJ
Var58	2	8	OJ
Var59	2	9	OJ
Var60	2	10	OJ
