	Annt1	Annt2	Annt3	Annt4	chr	pos
V1	Desc:2	Desc:3	Desc:4	Desc:4	1	176158308
V2	Desc:2	Desc:2	Desc:2	Desc:2	1	195792629
V3	Desc:1	Desc:2	Desc:4	Desc:3	1	229516707
V4	Desc:1	Desc:2	Desc:2	Desc:4	1	127588847
V5	Desc:1	Desc:2	Desc:4	Desc:4	1	79643728
V6	Desc:1	Desc:3	Desc:4	Desc:5	1	185593801
V7	Desc:2	Desc:2	Desc:4	Desc:1	1	9679485
V8	Desc:2	Desc:3	Desc:2	Desc:1	1	244523632
V9	Desc:2	Desc:3	Desc:1	Desc:1	1	236753568
V10	Desc:1	Desc:3	Desc:3	Desc:2	1	128133434
V11	Desc:1	Desc:1	Desc:4	Desc:3	1	228644565
V12	Desc:1	Desc:3	Desc:2	Desc:1	1	150003054
V13	Desc:2	Desc:2	Desc:4	Desc:2	1	219011541
V14	Desc:1	Desc:2	Desc:3	Desc:2	2	168916847
V15	Desc:1	Desc:3	Desc:4	Desc:3	2	26949439
V16	Desc:1	Desc:1	Desc:3	Desc:4	2	102746811
V17	Desc:1	Desc:2	Desc:4	Desc:3	2	2474221
V18	Desc:1	Desc:2	Desc:4	Desc:3	2	209897353
V19	Desc:1	Desc:3	Desc:1	Desc:2	2	113021141
V20	Desc:2	Desc:3	Desc:2	Desc:1	2	77762431
V21	Desc:1	Desc:2	Desc:2	Desc:2	2	163020942
V22	Desc:1	Desc:2	Desc:1	Desc:3	2	171034774
V23	Desc:1	Desc:1	Desc:1	Desc:1	2	213334477
V24	Desc:1	Desc:1	Desc:4	Desc:5	2	97455775
V25	Desc:2	Desc:2	Desc:1	Desc:2	2	83291531
V26	Desc:2	Desc:1	Desc:3	Desc:4	2	143519956
V27	Desc:2	Desc:3	Desc:1	Desc:3	3	122953780
V28	Desc:1	Desc:1	Desc:4	Desc:2	3	134434993
V29	Desc:2	Desc:1	Desc:4	Desc:5	3	6501153
V30	Desc:1	Desc:3	Desc:1	Desc:3	3	36509633
V31	Desc:2	Desc:2	Desc:1	Desc:1	3	134712403
V32	Desc:2	Desc:1	Desc:2	Desc:4	3	16094381
V33	Desc:2	Desc:2	Desc:3	Desc:2	3	159112661
V34	Desc:1	Desc:1	Desc:1	Desc:4	3	16092021
V35	Desc:2	Desc:3	Desc:1	Desc:1	3	29530674
V36	Desc:1	Desc:2	Desc:4	Desc:3	3	98680615
V37	Desc:1	Desc:2	Desc:3	Desc:3	4	19640420
V38	Desc:2	Desc:2	Desc:4	Desc:5	4	108401923
V39	Desc:2	Desc:2	Desc:3	Desc:4	4	143243174
V40	Desc:1	Desc:3	Desc:1	Desc:1	4	16342895
V41	Desc:2	Desc:1	Desc:3	Desc:2	4	42326293
V42	Desc:2	Desc:1	Desc:2	Desc:4	4	115086153
V43	Desc:2	Desc:3	Desc:3	Desc:2	4	86673182
V44	Desc:2	Desc:1	Desc:1	Desc:3	4	138017594
V45	Desc:2	Desc:1	Desc:1	Desc:2	4	40287060
V46	Desc:1	Desc:3	Desc:1	Desc:5	4	133573077
V47	Desc:1	Desc:3	Desc:3	Desc:5	5	138457582
V48	Desc:1	Desc:2	Desc:3	Desc:4	5	17843222
V49	Desc:1	Desc:3	Desc:4	Desc:4	5	54643446
V50	Desc:2	Desc:2	Desc:2	Desc:5	5	31433785
V51	Desc:1	Desc:2	Desc:4	Desc:1	5	74774102
V52	Desc:2	Desc:1	Desc:4	Desc:4	5	178335068
V53	Desc:2	Desc:3	Desc:4	Desc:3	5	56846964
V54	Desc:1	Desc:2	Desc:1	Desc:5	5	539920
V55	Desc:2	Desc:2	Desc:1	Desc:2	5	95028169
V56	Desc:1	Desc:1	Desc:3	Desc:4	5	121007542
V57	Desc:1	Desc:1	Desc:2	Desc:3	6	131105053
V58	Desc:1	Desc:1	Desc:4	Desc:1	6	79720263
V59	Desc:1	Desc:2	Desc:2	Desc:1	6	48227800
V60	Desc:1	Desc:2	Desc:4	Desc:3	6	142747889
